YBR167C	YIR015W
YFL023W	YNR031C
YDR122W	YPL256C
YGL116W	YPR119W
YDR077W	YOR330C
YGR202C	YNL189W
YDR483W	YLR166C
YLL011W	YPR137W
YDR381W	YMR219W
YDL171C	YER151C
YMR216C	YMR304W
YDR092W	YGL087C
YDR171W	YOR181W
YBL030C	YGL137W
YDL222C	YIL105C
YDL030W	YHR165C
YDL089W	YPR028W
YBL054W	YNL118C
YNR019W	YPL031C
YPL031C	YPR091C
YLL023C	YML048W
YDR207C	YPL181W
YGL127C	YOR128C
YLR131C	YNL135C
YMR121C	YMR139W
YIL075C	YMR001C
YJL117W	YPL264C
YMR125W	YPL151C
YDR176W	YER151C
YDL097C	YKL049C
YLR109W	YNL079C
YCR028C-A	YOR273C
YLR310C	YPL100W
YGR220C	YNL252C
YBL087C	YGL227W
YDR356W	YOR373W
YGR095C	YOR145C
YHR200W	YLR438W
YGR078C	YLR200W
YER178W	YLR166C
YER044C-A	YMR133W
YFR049W	YOR047C
YNL027W	YNL307C
YJR112W	YOL069W
YDL007W	YOR259C
YER105C	YJR042W
YER027C	YER162C
YBR167C	YDR478W
YHR052W	YKL172W
YER042W	YIR037W
YGR130C	YOR273C
YFR024C-A	YMR302C
YBR156C	YNL162W
YGR008C	YIL143C
YCR091W	YMR216C
YCR088W	YDL029W
YDL028C	YPR048W
YBR020W	YML051W
YGL141W	YKR064W
YDR477W	YNL218W
YER016W	YML085C
YJL164C	YNL093W
YBR274W	YOL012C
YGR078C	YOR351C
YLR148W	YPL045W
YBR036C	YJL214W
YPL146C	YPR161C
YFR014C	YMR087W
YER022W	YMR112C
YFL034W	YPL110C
YBR272C	YEL056W
YBL002W	YKL049C
YKL203C	YMR104C
YJL222W	YKL065C
YAR018C	YGR285C
YLR131C	YPR086W
YDR422C	YER029C
YLR310C	YPL256C
YCR057C	YML024W
YDL001W	YLL039C
YIL043C	YNL055C
YAR031W	YGL053W
YDR174W	YMR242C
YML085C	YML124C
YGL180W	YLR265C
YGL212W	YOR292C
YBL026W	YHR165C
YFR021W	YNL242W
YBR098W	YHR016C
YPL115C	YPL256C
YLR117C	YNR011C
YGR092W	YJR142W
YBL075C	YLR310C
YJL141C	YPL247C
YGR060W	YML075C
YBL093C	YDR381W
YEL034W	YJR047C
YDL051W	YDR510W
YDR490C	YIR044C
YLL039C	YMR183C
YDL103C	YPR106W
YGR092W	YIL106W
YAL016W	YHR135C
YBR010W	YGR270W
YIL113W	YKL161C
YAR019C	YCR091W
YJR009C	YML065W
YDR324C	YPR137W
YGL180W	YMR140W
YGL153W	YMR267W
YHR082C	YLR055C
YKL171W	YNL027W
YBR098W	YKL113C
YIL056W	YNL197C
YHR001W	YOR273C
YBR290W	YLL039C
YNL197C	YOR307C
YGR220C	YLR371W
YDL134C	YER032W
YEL037C	YHL030W
YDR486C	YLR025W
YDR364C	YJL141C
YBR065C	YLR117C
YIL027C	YMR112C
YGL256W	YNL307C
YGL179C	YJR092W
YGL012W	YNL280C
YDR100W	YPL100W
YDR363W-A	YKL145W
YKL050C	YLR423C
YDR318W	YGL060W
YDR510W	YPL049C
YDR072C	YNL197C
YJL164C	YKL008C
YDL065C	YKL189W
YDR146C	YPL031C
YGL206C	YNL007C
YDR155C	YNL330C
YDR174W	YLR455W
YCL029C	YHR135C
YGL180W	YLR125W
YGR002C	YHR090C
YFL038C	YLR268W
YDR254W	YPR046W
YKL130C	YLR196W
YHR193C	YKR081C
YGL175C	YNL189W
YBR183W	YJL117W
YDL015C	YGR060W
YJR125C	YOR351C
YNR011C	YPL151C
YGL175C	YMR001C
YDR032C	YDR369C
YDR356W	YLL003W
YGR250C	YKL049C
YDL239C	YDR520C
YBR048W	YPL131W
YLL039C	YOR329C
YFR010W	YJR066W
YDR479C	YOL065C
YIL035C	YPL181W
YDR510W	YIL149C
YJR059W	YML096W
YDR028C	YER133W
YGR103W	YPR115W
YFL038C	YLR396C
YLR117C	YMR288W
YER112W	YGR162W
YMR288W	YPR178W
YDR484W	YKR020W
YFR014C	YMR290C
YBR109C	YEL034W
YJR098C	YMR304W
YDR130C	YOL069W
YLR460C	YPL031C
YKL172W	YOR272W
YBL084C	YDL008W
YIL072W	YNL154C
YCR002C	YDR510W
YGL060W	YJR135C
YKR024C	YKR081C
YBR048W	YDR299W
YDR277C	YJL020C
YBR211C	YPR046W
YMR165C	YNL197C
YDR468C	YGL095C
YML048W	YMR149W
YLL039C	YLR377C
YBR198C	YGR220C
