YBR035C	YDL214C
YOL018C	YPR183W
YBR196C	YDR172W
YGL014W	YGL070C
YDR074W	YHR082C
YDR285W	YKL166C
YER062C	YKL069W
YER092W	YLR052W
YDL143W	YHR200W
YFR004W	YKL182W
YDR510W	YPL269W
YBL032W	YGR071C
YBL032W	YMR069W
YBL072C	YDR510W
YKL009W	YPR080W
YDR359C	YEL018W
YDR477W	YHR189W
YBL072C	YFR004W
YGL076C	YJR145C
YAL038W	YHR027C
YGL076C	YMR290C
YDR088C	YGR074W
YCR088W	YDR388W
YKL166C	YML001W
YBR105C	YIL097W
YLL043W	YMR104C
YKL068W	YPL012W
YFL050C	YOL130W
YGR100W	YJR059W
YDR107C	YGL200C
YFR004W	YHL030W
YBR126C	YDR028C
YFR014C	YIL148W
YGL111W	YNL002C
YGR021W	YHR135C
YJL101C	YPL226W
YDR510W	YJL042W
YBL045C	YGR112W
YLR425W	YPL066W
YBR059C	YLR258W
YCR076C	YNL189W
YJL164C	YKL062W
YBL032W	YFR017C
YAL005C	YOR185C
YHR007C	YLL006W
YNL197C	YOR052C
YNL216W	YPL106C
YHR135C	YOR119C
YGL190C	YPR154W
YGR205W	YKL168C
YLR223C	YOR039W
YHR157W	YKL166C
YAL013W	YPL181W
YDR225W	YMR125W
YGR074W	YLR147C
YLR413W	YNL197C
YGL103W	YIL133C
YBL039C	YHR027C
YFR010W	YHL030W
YFR004W	YIL075C
YCL054W	YLL008W
YBL032W	YJL140W
YLL019C	YMR102C
YDR498C	YML058W
YDL100C	YOR007C
YAL005C	YFL008W
YFR029W	YNL197C
YDR256C	YMR033W
YDR032C	YHR001W
YER012W	YPR108W
YHR200W	YOR176W
YGR133W	YOL147C
YAL017W	YMR184W
YJL179W	YLR216C
YFR004W	YLR448W
YGL173C	YLR175W
YBR279W	YLL063C
YDR064W	YJR123W
YDR310C	YFR024C-A
YFR004W	YPL204W
YCR028C-A	YLR413W
YBR059C	YPL106C
YNL090W	YOR089C
YDR064W	YIL133C
YDR381W	YPL001W
YKL215C	YLL026W
YBL032W	YBR108W
YGR261C	YKL135C
YGL173C	YNL147W
YDR265W	YPL031C
YJR109C	YPL204W
YAL043C	YBL032W
YHL007C	YOR232W
YDR206W	YPR129W
YNL068C	YNL197C
YBR086C	YNL194C
YER023W	YFR004W
YCR030C	YGR241C
YDL115C	YGL179C
YJL153C	YOR120W
YBL015W	YJR035W
YEL044W	YLR052W
YMR172W	YOR039W
YDR388W	YLR355C
YGR232W	YHR027C
YGR031W	YIL107C
YFR010W	YPR108W
YDL029W	YMR216C
YKL071W	YPL157W
YLR196W	YPR152C
YDL030W	YER172C
YBR225W	YNL307C
YLR337C	YNL084C
YBL072C	YPR152C
YLR258W	YOL100W
YDR436W	YOR054C
YDR466W	YOL082W
YDL216C	YMR025W
YER089C	YFR004W
YDL155W	YLR310C
YER012W	YGR232W
YBL072C	YDL014W
YBR138C	YHR082C
YJL189W	YMR139W
YER177W	YGL181W
YDR342C	YMR049C
YMR032W	YOR181W
YLR384C	YNL107W
YCL061C	YKL049C
YOR110W	YPL007C
YKL058W	YOR093C
YDL207W	YPR080W
YIL133C	YMR242C
YBR167C	YIR015W
YAL005C	YGL181W
YPR052C	YPR056W
YGL137W	YKL166C
YJR066W	YLR378C
YBL011W	YNL307C
YDR381W	YMR219W
YMR216C	YMR304W
YDR092W	YGL087C
YHR027C	YKR043C
YGL111W	YPL204W
YFR004W	YMR219W
YNL097C	YPL082C
YDL089W	YPR028W
YBL041W	YER105C
YNR019W	YPL031C
YLR386W	YNR016C
YPL031C	YPR091C
YEL063C	YHL042W
YDR207C	YPL181W
YDR368W	YFR004W
YKL058W	YOR194C
YIL062C	YKL013C
YBL032W	YNL003C
YGR130C	YJL165C
YIL075C	YMR001C
YJL117W	YPL264C
YMR125W	YPL151C
YGR136W	YPR081C
YFR031C-A	YKL180W
YER172C	YIL061C
YML086C	YNL007C
YCR028C-A	YOR273C
YGL014W	YOL127W
YHR135C	YMR229C
YEL036C	YFL048C
YBL032W	YOR137C
YDR510W	YOR293W
YJR112W	YOL069W
YDR477W	YGL158W
YKL148C	YOL071W
YGL111W	YOR272W
YBR159W	YGL055W
YDR381W	YOL127W
YBL032W	YKL163W
YJR035W	YNR058W
YGR130C	YOR273C
YFR024C-A	YMR302C
YBR069C	YPL233W
YDR168W	YOR027W
YBL105C	YNL232W
YCR091W	YMR216C
YLL013C	YPL204W
YDR510W	YOR344C
YFR004W	YLR216C
YCR088W	YDL029W
YBR279W	YML069W
YPL061W	YPL204W
YDR477W	YNL218W
YAL032C	YJL103C
YLR313C	YNR032C-A
YBR095C	YDR207C
YBR036C	YJL214W
YFR014C	YMR087W
YDR388W	YER129W
YFR004W	YJL055W
YKL203C	YMR104C
YOR191W	YPL082C
YJL222W	YKL065C
YLL028W	YML072C
YDL116W	YKR082W
YDR168W	YGL201C
YGR080W	YKL007W
YNR037C	YPL118W
YBL032W	YPR129W
YHR185C	YPL204W
YOR119C	YOR198C
YGL111W	YPR143W
YGL212W	YOR292C
YGL076C	YMR086W
YHR135C	YPR169W
YHL023C	YNL307C
YJR102C	YMR077C
YBL093C	YDR381W
YFL008W	YIL126W
YBR159W	YLL023C
YDL051W	YDR510W
YDR490C	YIR044C
YDR159W	YDR381W
YER039C	YGL070C
YIL142W	YNL317W
YLR005W	YPR056W
YAL016W	YHR135C
YIL113W	YKL161C
YBL067C	YHR082C
YAR019C	YCR091W
YJR123W	YKL180W
YIL056W	YNL197C
YHR001W	YOR273C
YGL103W	YMR142C
YDL101C	YPL177C
YGR220C	YLR371W
YCL054W	YMR290C
YBL045C	YFR004W
YML114C	YPL011C
YBL032W	YNL112W
YBR173C	YGR135W
YBL032W	YBL101C
YDL047W	YNR016C
YNR053C	YPL131W
YOL066C	YPL031C
YDR318W	YGL060W
YDR072C	YNL197C
YHR200W	YOR341W
YBL032W	YJR043C
YNL112W	YPR152C
YLR245C	YNL189W
YGR231C	YHR135C
YBR063C	YDR369C
YDR092W	YLR032W
YBL032W	YGL068W
YBL091C-A	YNL197C
YDR388W	YJR043C
YER008C	YIL068C
YGL021W	YLL015W
YMR209C	YNL197C
YGR232W	YNL244C
YIL068C	YJL085W
YFL033C	YOL081W
YFL009W	YHR005C
YDR169C	YFR014C
YDL207W	YDR172W
YDR032C	YDR369C
YJL106W	YNL116W
YBL032W	YPR182W
YDR356W	YLL003W
YFL008W	YJR112W
YFL014W	YNL312W
YFR037C	YLR340W
YAL018C	YLL028W
YGL181W	YPL031C
YBR159W	YNR019W
YFR010W	YJR066W
YJR032W	YNL197C
YGL173C	YGR086C
YDR479C	YOL065C
YIL035C	YPL181W
YDR510W	YIL149C
YBL032W	YIL056W
YER042W	YFR004W
YFR037C	YOR290C
YKL095W	YLR147C
YDR381W	YJL098W
YGL173C	YMR076C
YBR254C	YDR108W
YCL028W	YNL007C
YDR328C	YJR090C
YBL058W	YJL006C
YDR484W	YKR020W
YFR014C	YMR290C
YJR098C	YMR304W
YGL187C	YGR112W
YDR130C	YOL069W
YLR460C	YPL031C
YGL137W	YNL287W
YMR165C	YNL197C
YNL132W	YNR054C
YBR198C	YGR220C
YLR216C	YOR027W
YKL054C	YKL117W
YLR306W	YPL003W
YNL101W	YPR028W
YDL207W	YER105C
YHR007C	YJR117W
YKL014C	YOR206W
YBL032W	YBR119W
YFL008W	YLL050C
YDR477W	YIL107C
YDL148C	YER035W
YHR135C	YPL181W
YIL052C	YOR290C
YFL047W	YFR004W
YHR113W	YML064C
YBR109C	YDR155C
YDR169C	YPR080W
YBR159W	YML123C
YDR335W	YKR082W
YGL200C	YHR110W
YBR159W	YPR198W
YNL248C	YOR341W
YDR388W	YFR004W
YPL012W	YPL131W
YDR477W	YLL027W
YHR027C	YLR153C
YIL061C	YMR319C
YLR176C	YOR290C
YHR007C	YKL201C
YEL051W	YGL006W
YBL032W	YBR233W
YJR066W	YPR185W
YIL035C	YLR196W
YDR342C	YLR340W
YCR028C-A	YER020W
YLR180W	YOR326W
YPL151C	YPR182W
YDR381W	YIL026C
YHL025W	YOR290C
YDR328C	YHR021C
YEL047C	YFR004W
YBL032W	YOL161C
YFR004W	YIL116W
YJR014W	YKL166C
YBL032W	YDL233W
YBR086C	YJR045C
YBL032W	YOR273C
YBL032W	YGL192W
YDL029W	YDR063W
YJR153W	YNL197C
YMR304W	YOR326W
YHR094C	YLL006W
YBR112C	YPL177C
YDL214C	YHR139C
YAR042W	YER120W
YDL060W	YNR054C
YDL014W	YNL132W
YNL132W	YPL220W
YLR106C	YMR131C
YBL032W	YOR085W
YBL040C	YDR331W
YGL179C	YKL197C
YDR036C	YJR101W
YBL032W	YNL054W
YCR100C	YNL307C
YHR105W	YOR292C
YER172C	YNR053C
YDR342C	YJR066W
YDL101C	YHR135C
YGL212W	YPL232W
YDL059C	YGR086C
YLR079W	YOR039W
YNL066W	YPL204W
YCL032W	YGL133W
YNL189W	YNL232W
YKL067W	YNL189W
YBR267W	YMR242C
YBL032W	YGR077C
YBR126C	YMR229C
YBL032W	YCL004W
YJL106W	YMR001C
YDL014W	YOR206W
YAL011W	YGR086C
YBL105C	YFR024C-A
YMR001C	YNL189W
YAL032C	YKR086W
YJL130C	YLR436C
YML064C	YMR001C
YAR042W	YDR100W
YKL049C	YKR046C
YGL017W	YNL157W
YAL017W	YKL035W
YFR004W	YPL061W
YML069W	YPR052C
YER061C	YPL031C
YBR095C	YNL189W
YMR032W	YMR109W
YDL029W	YIL062C
YDR161W	YDR466W
YBR109C	YPL031C
YBL072C	YDL213C
YGL120C	YOR290C
YKL012W	YPR182W
YBR081C	YDR510W
YJL164C	YNL098C
YJR123W	YJR145C
YAL022C	YNL197C
YAL017W	YDR259C
YGL201C	YLR233C
YFR004W	YML085C
YDR311W	YLR005W
YLL008W	YPL131W
YDL140C	YDR356W
YBR264C	YNL044W
YGL025C	YLR071C
YLR354C	YNL053W
YIR003W	YPL031C
YHR158C	YJR059W
YER063W	YKR048C
YFR021W	YML059C
YBL032W	YMR124W
YLR086W	YPR129W
YBR198C	YML114C
YGL056C	YML072C
YJL130C	YPR152C
YBL032W	YOR149C
YBL032W	YBR162C
YBL032W	YDR155C
YJL005W	YPR152C
YER105C	YKL057C
YCR030C	YOR181W
YDL201W	YPL031C
YAL038W	YHR169W
YLR245C	YOL111C
YGR254W	YJR045C
YJR047C	YNL197C
YDR155C	YNL244C
YDR229W	YOR181W
YFR024C-A	YGL201C
YFR004W	YOR042W
YBR289W	YNL031C
YBR059C	YMR297W
YBR127C	YJR033C
YNL182C	YPL031C
YBR188C	YGL120C
YBR193C	YNL236W
YBR059C	YGR159C
YHR178W	YLR147C
YDR388W	YDR416W
YDL212W	YML132W
YGL111W	YOR005C
YDR510W	YHR206W
YDR411C	YDR479C
YDL140C	YJR110W
YHR082C	YPL031C
YDR425W	YGL161C
YBR059C	YMR004W
YCL010C	YPL047W
YDL015C	YPL264C
YDR288W	YOR358W
YDL140C	YLR015W
YMR072W	YOR374W
YHR135C	YOL153C
YBL032W	YHR082C
YCR024C-A	YLR241W
YMR080C	YPL106C
YBL032W	YMR040W
YML049C	YMR117C
YBL032W	YJL083W
YJR123W	YOR361C
YBR109C	YFR014C
YDR216W	YOL148C
YHR027C	YPR058W
YJR132W	YKL049C
YHR108W	YLR170C
YIL061C	YJL098W
YIL126W	YNL116W
YGL006W	YPL006W
YDR388W	YOR329C
YML049C	YMR125W
YHR036W	YJL183W
YDR054C	YFL029C
YBR279W	YNL251C
YDL213C	YJR041C
YBL032W	YHR206W
YGL037C	YHR200W
YFR031C-A	YPL043W
YKL049C	YPL001W
YBL006C	YIL126W
YLR337C	YMR109W
YDR381W	YJR045C
YAL005C	YDR390C
