YER082C	YMR093W
YEL030W	YKL191W
YDR477W	YNL257C
YGR168C	YNL154C
YBL021C	YKL109W
YHL007C	YMR053C
YBR095C	YCR009C
YBR106W	YIL171W
YDR523C	YOR157C
YJR066W	YMR183C
YBR079C	YPL001W
YLR384C	YNL272C
YDR212W	YKL089W
YGL122C	YJL043W
YAL053W	YCR030C
YKL181W	YNL255C
YDR510W	YFR031C
YIR010W	YNL059C
YAR042W	YGR192C
YGL180W	YHR009C
YDL099W	YGL122C
YGL122C	YNL020C
YAL035W	YEL054C
YGL122C	YNL246W
YFR015C	YGL134W
YHR197W	YNL113W
YBR168W	YDL065C
YEL061C	YER012W
YGL122C	YKL060C
YAL043C	YLR340W
YER155C	YPL210C
YBR106W	YCL038C
YER045C	YGL122C
YMR128W	YPL139C
YLL039C	YPR075C
YDL044C	YLR139C
YDL150W	YNL255C
YGL180W	YLR423C
YER032W	YLR456W
YLR006C	YNR031C
YJL115W	YNL113W
YIR026C	YJL122W
YNL135C	YPL049C
YGL122C	YPL248C
YHR083W	YMR203W
YDR246W	YGL122C
YJL190C	YML073C
YLL008W	YNL002C
YJL014W	YLR259C
YER032W	YMR117C
YDL019C	YJL207C
YDR301W	YER133W
YGL031C	YOL127W
YDL127W	YPL031C
YGR159C	YJL164C
YEL027W	YGL122C
YLR188W	YNL255C
YJR070C	YOL100W
YLR196W	YOL041C
YIL035C	YMR173W
YIL019W	YMR128W
YGL123W	YNL255C
YER105C	YLL039C
YHR033W	YOR212W
YBR189W	YJR145C
YCR093W	YDR293C
YCR076C	YNL118C
YHR089C	YJR022W
YGL031C	YGL122C
YHR094C	YIR038C
YLL039C	YPL048W
YDR087C	YOR063W
YGR099W	YKL033W
YBR130C	YLL039C
YPL116W	YPL220W
YGR089W	YLL039C
YER059W	YLR079W
YLL039C	YMR295C
YGL122C	YMR017W
YDR244W	YNL329C
YDR212W	YJL014W
YCR030C	YKL049C
YDL123W	YLL048C
YGR060W	YOR016C
YGL122C	YJL217W
YCR030C	YNR047W
YML037C	YNL154C
YNR022C	YPR119W
YBR194W	YJL122W
YFR021W	YGL179C
YBL038W	YJL063C
YDR510W	YOR063W
YER151C	YNL281W
YER151C	YOR136W
YBL007C	YOR109W
YGL122C	YGR150C
YER133W	YGR156W
YDL123W	YGR163W
YLR096W	YOR093C
YDR383C	YKL049C
YBR159W	YNL279W
YDR477W	YKL091C
YHR027C	YMR145C
YJR034W	YOR162C
YER106W	YKL109W
YGR159C	YOL016C
YGL122C	YJR149W
YDR264C	YOR101W
YAL035W	YIR001C
YDR167W	YLR055C
YLL039C	YNL012W
YER151C	YNL132W
YKL119C	YLR292C
YGL122C	YOR341W
YMR173W	YPL126W
YLR134W	YNL244C
YER133W	YMR140W
YDR224C	YPR052C
YJL187C	YPR139C
YLL039C	YNL074C
YGL122C	YKL025C
YER010C	YGL122C
YBL081W	YDL167C
YBR086C	YHR135C
YDR212W	YJL164C
YHR152W	YLR132C
YGL122C	YML032C
YDL025C	YGL122C
YLL039C	YOR145C
YBL103C	YNL006W
YGR103W	YKL009W
YER092W	YGL150C
YBR060C	YNL031C
YML088W	YNL255C
YBR031W	YGR214W
YLR249W	YNL307C
YIL027C	YJL117W
YGL122C	YLR421C
YDR504C	YMR168C
YDR225W	YOR141C
YKR086W	YPL178W
YFR009W	YHL039W
YER133W	YGR103W
YML001W	YPR028W
YGL011C	YKR070W
YAR007C	YBR049C
YAL021C	YDR443C
YLR026C	YMR197C
YBR189W	YCR031C
YFL005W	YNL293W
YGR270W	YMR049C
YBL032W	YMR317W
YBR031W	YBR189W
YBR017C	YMR145C
YGL122C	YNL208W
YBL032W	YLR394W
YGL122C	YGR055W
YJL164C	YLR003C
YER151C	YPL160W
YKL060C	YNL127W
YFL017W-A	YML049C
YKR090W	YPL031C
YGL059W	YKL181W
YBR142W	YLR367W
YDR489W	YIL150C
YDR252W	YPL037C
YLL039C	YLR219W
YHR091C	YOL088C
YLL008W	YPL141C
YDR044W	YOR093C
YDR224C	YIL066C
YLR011W	YOR028C
YDL052C	YFR009W
YDL065C	YMR047C
YML127W	YMR091C
YDL128W	YNL154C
YGR135W	YNL244C
YBL061C	YMR242C
YLL039C	YLR002C
YGL122C	YGL220W
YGL002W	YNL255C
YLL008W	YLR002C
YNL255C	YPR167C
YBR177C	YOL045W
YGL122C	YPR199C
YGL006W	YML018C
YDR021W	YNL271C
YOL045W	YOR184W
YJR097W	YNL092W
YBL032W	YBR230C
YJR002W	YMR128W
YER151C	YGL173C
YDR295C	YJR112W
YHR191C	YNL290W
YPL049C	YPL256C
YDR240C	YPL178W
YDR087C	YKL009W
YER013W	YMR125W
YBR247C	YDL060W
YBL078C	YLR093C
YBR079C	YOR361C
YNL175C	YPL220W
YBR020W	YPL248C
YLL039C	YNL141W
YAL001C	YDR381W
YGL122C	YJL222W
YBL047C	YJR134C
YER133W	YHR100C
YOR153W	YPL058C
YDR365C	YLR340W
YDR016C	YLR117C
YJR123W	YPR137W
YHL001W	YJL190C
YBR193C	YGL253W
YHR205W	YOL100W
YBL032W	YKL129C
YAR018C	YOL054W
YBL002W	YPL047W
YMR227C	YPL248C
YDR471W	YOR063W
YBL032W	YLL010C
YJL117W	YLR018C
YCR004C	YMR086W
YBL007C	YGR227W
YBR090C	YHR135C
YDR101C	YNL209W
YDR527W	YOR210W
YLL028W	YOR254C
YDR414C	YFR024C-A
YGL252C	YNL208W
YAL035W	YDR060W
YGL122C	YMR256C
YLR016C	YLR086W
YGL198W	YGL210W
YLL039C	YMR300C
YLL019C	YOR201C
YGL206C	YGR241C
YDR381W	YKR086W
YGL122C	YGL210W
YGL122C	YMR187C
YAR014C	YNL206C
YJR066W	YMR011W
YDL230W	YOL041C
YEL005C	YLR408C
YGL122C	YPL078C
YFL038C	YHR027C
YJR022W	YNL227C
YJL081C	YLR085C
YLL039C	YML097C
YER171W	YMR056C
TL(UAA)J	YAL001C
YDR510W	YPL129W
YGL181W	YHR161C
YDR060W	YPL131W
YFR001W	YNL186W
YBL032W	YMR195W
YBR017C	YKL009W
YIL126W	YOR290C
YIL115C	YMR308C
YJL020C	YJR115W
YBR050C	YGL122C
YGL122C	YIR032C
YGL122C	YOR319W
YOR233W	YOR294W
YNL255C	YNR032C-A
YBL042C	YDL222C
YDL239C	YKL042W
YHR027C	YMR099C
YBL103C	YJR066W
YDR119W	YGR041W
YFR052W	YGL048C
YDR212W	YKL049C
YLL039C	YML130C
YCR084C	YNL025C
YJL138C	YOL013C
YLL006W	YNL070W
YNL098C	YPL088W
YIL158W	YNL255C
YGR167W	YLR330W
YIR010W	YJR144W
YDR510W	YMR186W
YGL122C	YGR027C
YER151C	YOR369C
YMR125W	YPR182W
YBR280C	YDL132W
YJL117W	YMR134W
YGR055W	YGR121C
YGL023C	YNL183C
YDR045C	YDR328C
YDR054C	YIL046W
YGR021W	YNL255C
YGL189C	YNL255C
YGR234W	YJL164C
YIL004C	YLR093C
YLL039C	YMR261C
YLR093C	YPL031C
YDR100W	YFR024C-A
YER104W	YGL122C
YER166W	YOL115W
YIL016W	YPL264C
YDL060W	YDR381W
YDR434W	YKL039W
YDL060W	YJL190C
YKL195W	YMR203W
YGL122C	YPL106C
YBR154C	YGR200C
YBR017C	YBR247C
YFR024C-A	YJL004C
YCR087C-A	YKR092C
YBR010W	YER142C
YJR125C	YOR111W
YBL047C	YOL016C
YDR110W	YDR225W
YGR060W	YML055W
YIL171W	YJR117W
YDR381W	YIL095W
YGL233W	YJL036W
YGL122C	YOR065W
YDL190C	YER057C
YGR129W	YMR213W
YER013W	YGL122C
YGL122C	YHR143W-A
YBR191W	YHL001W
YBR011C	YPL111W
YGR030C	YIR015W
YGL129C	YJR101W
YGL006W	YJL178C
YDL100C	YHR128W
YNL255C	YOR194C
YGL122C	YMR115W
YBL103C	YBR010W
YLR216C	YNL278W
YDL030W	YOR159C
YGL122C	YPR020W
YFL017C	YGR135W
YIR010W	YJR112W
YGL141W	YLL039C
YBR254C	YGR143W
YNL207W	YPL266W
YGL179C	YNL293W
YER002W	YGR103W
YDR439W	YER106W
YBL032W	YPR119W
YBR010W	YER147C
YGL250W	YLR082C
YGL066W	YMR186W
YNL074C	YPL256C
YML037C	YNL307C
YAL025C	YOR267C
YCR031C	YHL001W
YJL081C	YNL059C
YBR052C	YGR281W
YBR231C	YOL012C
YEL036C	YGR132C
YGL122C	YJR048W
YML083C	YNL154C
YHR027C	YOR374W
YDR238C	YML067C
YBR031W	YML088W
YGL122C	YOR297C
YGL009C	YHR027C
YFL005W	YGL122C
YBR109C	YNL281W
YGR111W	YLL039C
YHR052W	YJL190C
YDR016C	YGR113W
YDR167W	YLR418C
YBL002W	YPL001W
YDR378C	YJR022W
YLR044C	YLR249W
YBR106W	YLR378C
YGL179C	YGR135W
YEL017C-A	YLR292C
YLL028W	YNL087W
YGL122C	YLR345W
YDL147W	YOR259C
YGR229C	YIL144W
YGL122C	YKL190W
YFL026W	YJR066W
YGL200C	YNL130C
YHL018W	YPL070W
YHR135C	YIL115C
YFL036W	YLR259C
YGL122C	YJL083W
YMR315W	YNL135C
YGR159C	YLR410W
YGL122C	YNL152W
YIR010W	YOR224C
YDL028C	YIL144W
YBR010W	YOR290C
YDR100W	YPL095C
YBR020W	YML088W
YDR510W	YJR123W
YMR010W	YNR028W
YER082C	YJR002W
YBR010W	YNL031C
YKL060C	YLR044C
YBL032W	YOR267C
YGR275W	YMR131C
YDR194C	YFL036W
YGL234W	YJR068W
YGL122C	YMR267W
YBR154C	YNL255C
YJL014W	YML061C
YBR251W	YJR101W
YER110C	YMR031C
YDR381W	YMR123W
YGL122C	YLR228C
YKL079W	YNL272C
YDR096W	YIR006C
YCL009C	YER110C
YNL154C	YPR091C
YJL164C	YNR019W
YDR100W	YML018C
YAL005C	YDR143C
YJR086W	YOR212W
YDL030W	YDR421W
YGL122C	YKL085W
YDR297W	YGR260W
YDL101C	YJR104C
YIL070C	YLR332W
YHR143W-A	YIR024C
YJL092W	YNL186W
YKL109W	YOR290C
YDR328C	YOR057W
YBL032W	YKL025C
YGL122C	YOR324C
YHR188C	YLR088W
YKL061W	YNL122C
YOL120C	YOR361C
YER125W	YJL164C
YNL255C	YNL301C
YGL122C	YGR082W
YKL049C	YPR091C
YLR085C	YLR259C
YER049W	YML131W
YGL122C	YLR224W
YDR224C	YHL007C
YIR010W	YOR341W
YGL122C	YNL036W
YPL248C	YPR086W
YKL009W	YNL002C
YML051W	YPL047W
YER155C	YOL087C
YBL032W	YOR221C
YDL028C	YNL116W
YLR163C	YOR133W
YJL020C	YPL031C
YDL132W	YLR134W
YBL032W	YHR205W
YDL100C	YNR067C
YGR129W	YNL255C
YCR063W	YGL128C
YDR510W	YOR374W
YDR118W	YOR249C
YOR294W	YPL180W
YAR014C	YOL033W
YJR066W	YKL161C
YGL122C	YIL083C
YJR002W	YOR078W
YBL075C	YLR026C
YBL032W	YDL020C
YBR079C	YGL106W
YHR135C	YOR204W
YBR234C	YEL037C
YBL007C	YOR008C
YMR288W	YPR182W
YIR010W	YMR145C
YDR510W	YOL116W
YBL054W	YIR010W
YER151C	YKL049C
YBL075C	YNL255C
YBL032W	YPR153W
YBL032W	YDR512C
YML085C	YOR136W
YER151C	YPL131W
YHR027C	YLR249W
YHR111W	YPL031C
YML062C	YNL004W
YDR201W	YDR356W
YIR010W	YOR026W
YDR357C	YKL061W
YLR287C-A	YNL255C
YJL092W	YLR384C
YBR193C	YDL005C
YDR255C	YKL144C
YCR093W	YDR378C
YHR207C	YLR096W
YLR320W	YLR432W
YDR028C	YER129W
YER151C	YOR204W
YDL190C	YML100W
YFR052W	YLR421C
YKR068C	YMR218C
YBR109C	YLR196W
YFL013C	YGL150C
YDR264C	YOL018C
YGL122C	YNL041C
YFL045C	YOR212W
YGR260W	YIL047C
YER164W	YOR039W
YBR108W	YCR009C
YLR084C	YOR153W
YNL113W	YNL248C
YBR035C	YDL214C
YBR079C	YDL019C
YGR281W	YOR273C
YBR196C	YDR172W
YEL034W	YKL212W
YDR376W	YIR024C
YNL031C	YPR023C
YDL181W	YGR089W
YEL039C	YGL122C
YDR381W	YIR001C
YER062C	YKL069W
YBL047C	YOL054W
YEL002C	YOL003C
YGR060W	YKL008C
YAL024C	YKR001C
YGR270W	YNL248C
YCR020C-A	YEL053C
YDR265W	YOL044W
YEL017C-A	YJR117W
YDR510W	YPL269W
YER015W	YLR098C
YML109W	YMR109W
YBL032W	YMR069W
YGL122C	YMR219W
YKL009W	YPR080W
YHR098C	YJR048W
YJL035C	YLR316C
YNL255C	YOR204W
YBR262C	YLL039C
YGR056W	YPR034W
YDR477W	YHR189W
YBR017C	YOR185C
YDL025C	YPL093W
YHL007C	YPL256C
YOR070C	YOR089C
YLR330W	YNL045W
YDR301W	YMR033W
YGL122C	YKR004C
YFR024C-A	YOL107W
YLL039C	YPR080W
YBR199W	YOL018C
YBR011C	YDR510W
YDR295C	YNL021W
YJR014W	YNL255C
YNL255C	YPR163C
YHR179W	YMR201C
YAL021C	YLR418C
YDR107C	YGL200C
