YCR046C	YDR296W
YCR046C	YHL004W
YHR174W	YPR152C
YAR031W	YCR030C
YDR411C	YDR479C
YHR082C	YPL031C
YGR274C	YPL128C
YDL015C	YPL264C
YDR288W	YOR358W
YBR272C	YGL004C
YOR014W	YOR073W
YBR200W	YMR212C
YOR267C	YPR160W
YBR167C	YNL246W
YMR072W	YOR374W
YBL032W	YHR082C
YCR024C-A	YLR241W
YJL127C	YOL110W
YER177W	YLR433C
YDR171W	YML065W
YDR137W	YLR039C
YBL050W	YKL196C
YIL101C	YOL004W
YLR219W	YOR181W
YLR420W	YNL088W
YKL129C	YOR247W
YBL002W	YLR442C
YNL197C	YNR046W
YGL006W	YPL006W
YDL113C	YFR028C
YLL039C	YMR080C
YDR054C	YFL029C
YGR077C	YOL044W
YHR114W	YLL005C
YKL049C	YPL001W
YDR027C	YLR262C
YHR079C	YPL128C
YBL032W	YPR160W
YHR187W	YKL110C
YDL155W	YIL106W
YDR164C	YMR183C
YIL105C	YLR423C
YLR423C	YPL240C
YDL185W	YHR200W
YDR283C	YLL039C
YGL059W	YLR258W
YDR300C	YFR004W
YML056C	YOR360C
YNL197C	YPL128C
YGR056W	YMR106C
YHR094C	YLL039C
YKR001C	YMR072W
YDL002C	YKR001C
YDL126C	YML013W
YAL024C	YCL040W
YJL219W	YML048W
YOR119C	YPR082C
YHL022C	YLR329W
YGL197W	YNL025C
YER098W	YNL307C
YBR198C	YPR072W
YGL006W	YHR175W
YKL114C	YKL164C
YBR200W	YGL233W
YKL185W	YPL181W
YGR192C	YKL129C
YDL126C	YLR450W
YLR223C	YOR247W
YLL039C	YLR345W
YOR036W	YPL240C
YBL007C	YKR001C
YDL185W	YER151C
YER177W	YFR028C
YGR274C	YJR140C
YGL120C	YPL146C
YJL165C	YMR076C
YER151C	YNL030W
YDL134C	YDL188C
YBL032W	YOR113W
YCR105W	YHR082C
YBR260C	YKR055W
YGR258C	YLR005W
YDR479C	YLL039C
YJL187C	YKL160W
YDL002C	YOR141C
YOL088C	YPR117W
YGR130C	YKL049C
YBR126C	YCL040W
YER125W	YER177W
YAL016W	YOL113W
YIR006C	YNL243W
YLR102C	YPL031C
YAL026C	YLL039C
YDR323C	YMR231W
YIL115C	YKL049C
YML024W	YML072C
YBL032W	YML053C
YGR092W	YNR006W
YDR477W	YLR242C
YDL126C	YKL039W
YGL055W	YJR059W
YCL027W	YLR330W
YCR051W	YFR004W
YML048W	YPR106W
YPR081C	YPR154W
YGL055W	YNL197C
YBR128C	YPL240C
YJL106W	YLR221C
YER033C	YPL031C
YER139C	YJL006C
YNL197C	YPL069C
YJR096W	YPL150W
YLR362W	YPL201C
YBR018C	YDL134C
YKL145W	YPR080W
YDR384C	YPR156C
YBL050W	YOL018C
YDL140C	YIR010W
YDR170C	YML085C
YBR097W	YLL039C
YDL115C	YJL187C
YHR092C	YJR066W
YCR016W	YER151C
YHR152W	YPR152C
YJL020C	YLR206W
YBR036C	YHR026W
YBL030C	YML065W
YBR101C	YPR154W
YGL233W	YJL085W
YKL095W	YLR424W
YLL039C	YOL027C
YBR170C	YFL044C
YIL131C	YPL237W
YFR004W	YIL041W
YER120W	YMR216C
YJR130C	YNL197C
YCL043C	YOL126C
YDR244W	YDR265W
YBR189W	YPL131W
YGR136W	YOR181W
YDL124W	YKL185W
YDR293C	YGR092W
YDL140C	YML010W
YHL035C	YHR114W
YBR231C	YLR385C
YBR169C	YPL004C
YDL207W	YIL115C
YBR078W	YJR066W
YBR189W	YHR200W
YDR505C	YJR059W
YBR055C	YLR424W
YDR510W	YPR103W
YER099C	YHR030C
YLR134W	YPL031C
YKL145W	YPL248C
