YBR001C	YLL039C
YBL032W	YOL161C
YJR014W	YKL166C
YBL032W	YDL233W
YCR084C	YGL025C
YBL032W	YOR273C
YBL032W	YGL192W
YDR001C	YLL039C
YDL029W	YDR063W
YGL158W	YLR055C
YBL032W	YBL051C
YIL034C	YIL062C
YGL059W	YHR082C
YBR194W	YEL015W
YJL106W	YMR100W
YDL227C	YHR027C
YER151C	YLR109W
YBL003C	YPL032C
YJR063W	YLR248W
YCL059C	YMR093W
YDL181W	YKR054C
YHR152W	YLR044C
YNL132W	YPL220W
YEL051W	YMR106C
YLR106C	YMR131C
