YJL006C	YPL240C
YCR017C	YGL122C
YGL180W	YLR192C
YBR002C	YKR067W
YDR113C	YFR036W
YJL063C	YOL027C
YBR142W	YOR063W
YJL164C	YOR056C
YDR381W	YDR510W
YIL084C	YKL185W
YLR196W	YMR229C
YDR510W	YNL220W
YGL227W	YLR377C
YFR004W	YNL044W
YBR239C	YDR388W
YOR187W	YPL259C
YCL011C	YDR138W
YNL225C	YOL091W
YLL039C	YML072C
YKL135C	YLR330W
YBR283C	YPR113W
YKL089W	YOL054W
YGL150C	YPL127C
YFL005W	YOR370C
YBR160W	YPL269W
YBR217W	YNR007C
YOL077C	YPL211W
YCL050C	YJR022W
YBR194W	YKR006C
YKR009C	YOL147C
YHR205W	YMR196W
YDR170C	YLL039C
YDR169C	YML112W
YHR209W	YLL039C
YGR156W	YKL059C
YBL032W	YNL183C
YDR171W	YPL240C
YGL122C	YOR042W
YHR094C	YKL065C
YOR250C	YPL203W
YBL032W	YGL237C
YGL122C	YOR230W
YGL129C	YIL093C
YNR027W	YPL106C
YHR186C	YLL039C
YPL031C	YPR019W
YBL032W	YCL068C
YDR174W	YDR381W
YDR392W	YGR252W
YDR012W	YNL251C
YKL212W	YPR183W
YGR220C	YMR098C
YOR341W	YPR010C
YCR034W	YEL063C
YJL063C	YNL306W
YDR138W	YEL060C
YDL066W	YGL187C
YGL058W	YKL210W
YJL164C	YOR134W
YDR188W	YOR212W
YKL161C	YPL031C
YLR022C	YMR229C
YCR009C	YMR229C
YIR010W	YOR061W
YGL122C	YHR001W
YNL059C	YNL215W
YJL014W	YOR230W
YKL185W	YLL039C
YKL145W	YLR421C
YGL105W	YJL187C
YDL132W	YLR368W
YAL009W	YJL176C
YML072C	YPL058C
YDR493W	YNL255C
YDR225W	YNL255C
YOL041C	YOR063W
YBR194W	YOL016C
YDR471W	YKR081C
YGR094W	YIL095W
YER022W	YGL151W
YBR194W	YLR196W
YPL077C	YPR106W
YBL101C	YOR124C
YHR137W	YLR278C
YDL053C	YPL140C
YNR054C	YOL120C
YIL177C	YPR034W
YOR124C	YPR030W
YJR091C	YKL204W
YBR095C	YCR009C
YBR106W	YIL171W
YBR079C	YPL001W
YDR212W	YKL089W
YGL122C	YJL043W
YLR075W	YMR242C
YBL032W	YJL128C
YBR126C	YLL019C
YFL041W	YOL044W
YKL181W	YNL255C
YGL122C	YNR021W
YIR010W	YNL059C
YCR091W	YJL198W
YDR150W	YDR247W
YBR160W	YLR278C
YGL180W	YHR009C
YDL099W	YGL122C
YDR456W	YNR056C
YGL122C	YNL020C
YFR015C	YGL134W
YHR197W	YNL113W
YDR496C	YNL255C
YBR168W	YDL065C
YBL032W	YER085C
YDR207C	YOR337W
YCR057C	YMR229C
YDR086C	YOR254C
YEL061C	YER012W
YGL122C	YKL060C
YDR143C	YPR010C
YGR200C	YMR236W
YBR106W	YCL038C
YER072W	YGL179C
YBR106W	YKR106W
YLR259C	YNR051C
YDL044C	YLR139C
YDR301W	YOL145C
YER128W	YFR014C
YBR059C	YNL227C
YER032W	YLR456W
YHR165C	YLR147C
YDR299W	YJR002W
YGR229C	YKR099W
YHR083W	YMR203W
YDR246W	YGL122C
YLR318W	YPL240C
YDR324C	YOL108C
YHL033C	YJL164C
YJL014W	YLR259C
YGR250C	YPL210C
YCR030C	YDL225W
YER032W	YMR117C
YDR301W	YER133W
YGL031C	YOL127W
YDL127W	YPL031C
YCL011C	YFR004W
YGR159C	YJL164C
YEL027W	YGL122C
YGR152C	YNL255C
YLR196W	YOL041C
YFR004W	YMR226C
YGL123W	YNL255C
YFR004W	YPR041W
YER105C	YLL039C
YDR032C	YGL122C
YHR033W	YOR212W
YBR189W	YJR145C
YCR076C	YNL118C
YHR089C	YJR022W
YGL031C	YGL122C
YDR207C	YOR355W
YGR099W	YKL033W
YDR166C	YLL039C
YKL049C	YNL055C
YFR046C	YIR010W
YER059W	YLR079W
YLL039C	YMR295C
YGL122C	YMR017W
YDR244W	YNL329C
YDR212W	YJL014W
YDL043C	YER029C
YCR030C	YKL049C
YDL123W	YLL048C
YIR010W	YMR100W
YLL039C	YMR054W
YGL122C	YJL217W
YCR030C	YNR047W
YML037C	YNL154C
YNR022C	YPR119W
YFR022W	YPL031C
YFR021W	YGL179C
YBL038W	YJL063C
YDR510W	YOR063W
YNL255C	YPR143W
YBL007C	YOR109W
YGL122C	YGR150C
YER133W	YGR156W
YDR383C	YKL049C
YDR174W	YDR335W
YBR159W	YNL279W
YGL016W	YJR121W
YIL079C	YML056C
YJL140W	YNL255C
YHR027C	YIL074C
YIL021W	YOL135C
YJL128C	YKR048C
YLL016W	YLR310C
YER106W	YKL109W
YGR159C	YOL016C
YDR408C	YOR361C
YGL122C	YJR149W
YJL164C	YNL125C
YLL039C	YNL012W
YBR207W	YHR094C
YKL119C	YLR292C
YGL122C	YOR341W
YNL251C	YNL330C
YGR278W	YKR086W
YBR198C	YNL216W
YML096W	YOL016C
YMR173W	YPL126W
YBR193C	YOR192C
YDR224C	YPR052C
YJL187C	YPR139C
YLL039C	YNL074C
YGL122C	YKL025C
YER010C	YGL122C
YBR086C	YHR135C
YDR212W	YJL164C
YBR142W	YDR170C
YHR152W	YLR132C
YGL122C	YML032C
YDL025C	YGL122C
YHR135C	YNL055C
YER043C	YMR059W
YLL039C	YOR145C
YBR031W	YGR214W
YLR274W	YOR080W
YJL140W	YPR187W
YGL122C	YLR421C
YDR225W	YOR141C
YKR086W	YPL178W
YFR009W	YHL039W
YDR238C	YER122C
YGL011C	YKR070W
YAL021C	YDR443C
YER091C	YMR059W
YBR031W	YDR496C
YKR003W	YPR173C
YGL116W	YJL014W
YHR135C	YKL048C
YDL202W	YNL255C
YDR394W	YOL117W
YFL005W	YNL293W
YBL032W	YMR317W
YBR031W	YBR189W
YGL122C	YNL208W
YBL032W	YLR394W
YGL122C	YGR055W
YJL164C	YLR003C
YKL060C	YNL127W
YFL017W-A	YML049C
YGL059W	YKL181W
YCR034W	YLR018C
YLL039C	YLR219W
YER165W	YGR250C
YGR295C	YMR221C
YHR091C	YOL088C
YDR044W	YOR093C
YNL238W	YOL031C
YDR224C	YIL066C
YLR011W	YOR028C
YEL009C	YGL201C
YKR024C	YLR233C
YNR051C	YOR063W
YBR160W	YER115C
YML052W	YOR153W
YBR193C	YGL151W
YDL052C	YFR009W
YDL065C	YMR047C
YKL060C	YOR117W
YML127W	YMR091C
YDL128W	YNL154C
YGR099W	YPL235W
YBL061C	YMR242C
YBL032W	YLR089C
YPL082C	YPL235W
YCR091W	YNL045W
YBR177C	YOL045W
YBR160W	YFR015C
YDR394W	YFR010W
YGL122C	YPR199C
YLR075W	YNL132W
YGL122C	YKL026C
YDR328C	YLR267W
YJR097W	YNL092W
YBL032W	YBR230C
YJR002W	YMR128W
YGL123W	YNR051C
YJR075W	YLL039C
YBL045C	YDR388W
YFR004W	YKL060C
YBR160W	YDL153C
YHR191C	YNL290W
YFL009W	YOL133W
YDR240C	YPL178W
YOL059W	YOR117W
YDR130C	YGR159C
YDR288W	YLR007W
YDR012W	YPR189W
YBR031W	YOL077C
YBR261C	YJL151C
YCR034W	YJL222W
YBR159W	YFR004W
YLL039C	YML101C
YHR027C	YPR108W
YBR079C	YOR361C
YNL175C	YPL220W
YGL035C	YPL240C
YAL001C	YDR381W
YGL122C	YJL222W
YAL028W	YPL153C
YGL122C	YKL160W
YOR153W	YPL058C
YLR075W	YOR063W
YFL037W	YKL049C
YDR080W	YNL238W
YDR016C	YLR117C
YJR123W	YPR137W
YBR193C	YGL253W
YAR018C	YOL054W
YGL174W	YGL216W
YBL002W	YPL047W
YGL122C	YJR118C
YMR071C	YOL016C
YDR471W	YOR063W
YLR332W	YMR299C
YDR011W	YGL077C
YNL255C	YPL140C
YDR064W	YFR004W
YLR455W	YOL077C
YBL032W	YLL010C
YDL002C	YGR092W
YCR004C	YMR086W
YBL007C	YGR227W
YKL049C	YKR048C
YBR090C	YHR135C
YDR101C	YNL209W
YDR527W	YOR210W
YLL028W	YOR254C
YGR196C	YIL131C
YGL122C	YMR256C
YKL185W	YPL031C
YBR283C	YKL065C
YGL198W	YGL210W
YGL206C	YGR241C
YBR217W	YHR033W
YER034W	YHR135C
YDR381W	YKR086W
YGL122C	YGL210W
YGL122C	YMR187C
YDL230W	YOL041C
YEL005C	YLR408C
YJR022W	YNL227C
YBR217W	YKL145W
YFR002W	YGL122C
YLL039C	YML097C
TL(UAA)J	YAL001C
YGL181W	YHR161C
YLL039C	YOL133W
YAL028W	YOR254C
YFR001W	YNL186W
YPR187W	YPR190C
YBL032W	YMR195W
YCL037C	YGL014W
YLR332W	YMR296C
YBR017C	YKL009W
YFR004W	YJL052W
YBR050C	YGL122C
YHR135C	YNL167C
YGL122C	YIR032C
YFR004W	YMR202W
YGL122C	YOR319W
YNL255C	YNR032C-A
YDL239C	YKL042W
YOR209C	YOR261C
YIL121W	YLL028W
YNR007C	YPL031C
YAL027W	YER049W
YJL014W	YOL146W
YER032W	YHR114W
YDR473C	YPL004C
YHR027C	YMR099C
YBL103C	YJR066W
YDR119W	YGR041W
YGR132C	YNL055C
YDL029W	YLR337C
YDR388W	YLR166C
YDR212W	YKL049C
YBR082C	YPL153C
YCR057C	YGR210C
YCR084C	YNL025C
YBR150C	YNL255C
YDR381W	YFR002W
YLL006W	YNL070W
YDL156W	YDR510W
YEL063C	YJL091C
YGR092W	YGR220C
YDL058W	YPL106C
YGR167W	YLR330W
YIR010W	YJR144W
YDR510W	YMR186W
YMR059W	YNR008W
YOR285W	YPR183W
YBR280C	YDL132W
YGR092W	YML037C
YER133W	YFR004W
YGL023C	YNL183C
YDR045C	YDR328C
YGR021W	YNL255C
YDR440W	YGL122C
YGL189C	YNL255C
YNL178W	YOR117W
YGL116W	YNL024C
YFL049W	YJL176C
YMR159C	YPL149W
YER166W	YOL115W
YDL060W	YDR381W
YBR087W	YMR078C
YDR129C	YNL138W
YKL195W	YMR203W
YGL122C	YPL106C
YBR217W	YGL122C
YGR214W	YKL029C
YBR154C	YGR200C
YDR388W	YPL031C
YAL027W	YOL086C
YOR039W	YOR061W
YCR087C-A	YKR092C
YNL055C	YOR117W
YFR004W	YLR044C
YBR173C	YLR199C
YDR381W	YIL095W
YGL233W	YJL036W
YJR069C	YPL240C
YDR418W	YDR471W
YLR310C	YNL025C
YGL122C	YOR065W
YER040W	YNL229C
YBR059C	YIL095W
YGR129W	YMR213W
YGL122C	YHR143W-A
YDR267C	YNL240C
YBR011C	YPL111W
YDR183W	YFL037W
YEL013W	YOR316C
YKL166C	YOR002W
YJL098W	YNL055C
YDL100C	YHR128W
YNL255C	YOR194C
YGL122C	YMR115W
YLR216C	YNL278W
YGL122C	YPR020W
YBL032W	YIL156W
YFL017C	YGR135W
YIR010W	YJR112W
YDR188W	YJL111W
YGL141W	YLL039C
YBR254C	YGR143W
YFR004W	YGR285C
YNL207W	YPL266W
YGL179C	YNL293W
YDR439W	YER106W
YBL032W	YPR119W
YKL028W	YPR052C
YGL066W	YMR186W
YNL074C	YPL256C
YDR418W	YNL255C
YCL054W	YPR161C
YML037C	YNL307C
YAL025C	YOR267C
YLR075W	YOR117W
YDR143C	YPL240C
YFR004W	YLR060W
YJL081C	YNL059C
YBR052C	YGR281W
YBR231C	YOL012C
YPR010C	YPR187W
YDR388W	YIL156W
YGL122C	YJR048W
YDR171W	YPR010C
YHR027C	YOR374W
YNL255C	YNR007C
YHR186C	YJL098W
YFL017W-A	YLR298C
YBL072C	YNR051C
YBR217W	YGR120C
YGL009C	YHR027C
YFL005W	YGL122C
YGL134W	YOR178C
YGR111W	YLL039C
YDR471W	YFR004W
YDR016C	YGR113W
YGL122C	YHR081W
YBL002W	YPL001W
YDR378C	YJR022W
YDR064W	YNR051C
YBR106W	YLR378C
YGL179C	YGR135W
YCR020W-B	YGR056W
YEL017C-A	YLR292C
YIR010W	YJL008C
YGL122C	YKL190W
YDL159W	YDR356W
YFL026W	YJR066W
YDR427W	YGR067C
YHR135C	YIL115C
YFL036W	YLR259C
YGL122C	YJL083W
YGL058W	YPR161C
YNL178W	YPR041W
YDR430C	YER178W
YOL091W	YOR373W
YBR173C	YPL031C
YMR109W	YOR181W
YMR235C	YPL209C
YDR100W	YPL095C
YDL233W	YGL122C
YDR510W	YJR123W
YDR131C	YOL025W
YOR039W	YPL235W
YDL070W	YLR227C
YMR010W	YNR028W
YDR473C	YGR075C
YGR085C	YOR063W
YDR195W	YLR115W
YDL134C	YPL235W
YKL060C	YLR044C
YBL032W	YOR267C
YGR275W	YMR131C
YEL063C	YKL065C
YDR194C	YFL036W
YBR235W	YNR047W
YBR154C	YNL255C
YKR048C	YPL209C
YJL014W	YML061C
YJR040W	YPL240C
YML051W	YOR355W
YDR381W	YMR123W
YGL122C	YLR228C
YHR114W	YIL132C
YDR096W	YIR006C
YNL154C	YPR091C
YJL164C	YNR019W
YJR086W	YOR212W
YBR048W	YDR510W
YGL122C	YGR133W
YDL101C	YJR104C
YHR143W-A	YIR024C
YDR328C	YOR057W
YBL032W	YKL025C
YJR091C	YLR156W
YDR039C	YLL039C
YDL233W	YGL216W
YOR061W	YOR119C
YHR188C	YLR088W
YOL120C	YOR361C
YCR057C	YLR003C
YKL049C	YPR091C
YGL043W	YJL164C
YER049W	YML131W
YGL122C	YLR224W
YBR098W	YDR386W
YIR010W	YOR341W
YGL122C	YNL036W
YML051W	YPL047W
YOR189W	YPL235W
YBL032W	YOR221C
YHR024C	YLR172C
YDL110C	YOR078W
YLR163C	YOR133W
YBL032W	YDR534C
YDR129C	YHR027C
YDL132W	YLR134W
YER165W	YHR165C
YBL032W	YHR205W
YGL180W	YKL023W
YBL032W	YKL112W
YGR129W	YNL255C
YGL122C	YJL140W
YCR063W	YGL128C
YML057W	YPR108W
YDR312W	YFR014C
YDR510W	YOR374W
YLL039C	YMR207C
YOR294W	YPL180W
YJL039C	YOL086C
YAL003W	YGR285C
YMR139W	YOL061W
YEL063C	YGL051W
YGL122C	YOR192C
YJR066W	YKL161C
YNL069C	YNL178W
YJR002W	YOR078W
YBL032W	YDL020C
YBR079C	YGL106W
YHR027C	YOR117W
YGL059W	YNR039C
YBL075C	YNL255C
YBL032W	YCL037C
YBR112C	YCL067C
YBL032W	YDR512C
YGR294W	YPL240C
YDR473C	YLR147C
YHR111W	YPL031C
YBR194W	YNL138W
YBL039C	YGL081W
YDR201W	YDR356W
YLR287C-A	YNL255C
YBR193C	YDL005C
YOR181W	YPL246C
YDR388W	YNL255C
YLR153C	YOR117W
YJL128C	YNL110C
YOL086C	YOR357C
YNL178W	YOR253W
YLR320W	YLR432W
YDR028C	YER129W
YKR036C	YLL001W
YFL013C	YGL150C
YFL045C	YOR212W
YJL164C	YLR173W
YBR108W	YCR009C
YBR035C	YDL214C
YBR079C	YDL019C
YOL018C	YPR183W
YGR281W	YOR273C
YBR196C	YDR172W
YEL034W	YKL212W
YDR376W	YIR024C
YGL014W	YGL070C
YJR022W	YOL031C
YNL110C	YNL132W
YBR102C	YLL039C
YIL156W	YPR154W
YDR285W	YKL166C
YKR071C	YLL039C
YEL039C	YGL122C
YDR212W	YOR230W
YAL024C	YKR001C
YGL246C	YOL120C
YCR020C-A	YEL053C
YER006W	YPR161C
YDR510W	YPL269W
YHR165C	YJR022W
YML109W	YMR109W
YBL032W	YMR069W
YBL072C	YDR510W
YGL122C	YMR219W
YKL009W	YPR080W
YHR098C	YJR048W
YJL035C	YLR316C
YBR262C	YLL039C
YEL034W	YOL133W
YGR056W	YPR034W
YBR017C	YOR185C
YBL072C	YFR004W
