YBL032W	YIL051C
YER015W	YLR098C
YPL240C	YPR181C
YGL195W	YML085C
YDR359C	YEL018W
YGR056W	YPR034W
YOR070C	YOR089C
YDR404C	YER139C
YBL002W	YOL006C
YML012W	YPR181C
YKL185W	YNL097C
YDL002C	YOR304W
YDR088C	YGR074W
YLL039C	YPR080W
YBR199W	YOL018C
YBR105C	YIL097W
YDL147W	YHR200W
YLL043W	YMR104C
YDR107C	YGL200C
YLR002C	YOL041C
YDL139C	YJL030W
YKL028W	YLR185W
YDR088C	YMR213W
YLL039C	YPL225W
YFR014C	YIL148W
YDL193W	YPL240C
YDR195W	YDR381W
YER112W	YJL203W
YFL048C	YLR026C
YER090W	YOR117W
YFL005W	YHR094C
YMR174C	YPL154C
YDR510W	YJL042W
YDL097C	YHR200W
YIL075C	YKL029C
YBR059C	YLR258W
YCR076C	YNL189W
YBL032W	YFR017C
YKL211C	YLL039C
YMR219W	YPL153C
YLL024C	YLR209C
YNL197C	YOR052C
YDR381W	YDR398W
YGL190C	YPR154W
YLL039C	YMR280C
YHR157W	YKL166C
YBR280C	YDR328C
YDL100C	YLR026C
YBR194W	YIL148W
YLR413W	YNL197C
YDR359C	YJL081C
YKL095W	YMR213W
YHR140W	YJL214W
YBR020W	YMR117C
YDL215C	YLL039C
YFR015C	YIL045W
YGL205W	YLL039C
YDR379W	YKL166C
YLR206W	YPL115C
YBL032W	YNR065C
YDR247W	YIL033C
YAL017W	YCR020W-B
YLL039C	YLR078C
YBL032W	YJL140W
YLL019C	YMR102C
YLL039C	YOR163W
YIR010W	YNL189W
YDR235W	YPR182W
YDL100C	YOR007C
YER012W	YPR108W
YHR200W	YOR176W
YGR133W	YOL147C
YDR227W	YDR510W
YBR108W	YIL095W
YGL173C	YLR175W
YBL032W	YJR093C
YFL007W	YGR285C
YDL185W	YKL080W
YBL032W	YER158C
YDL134C	YPL152W
YNL090W	YOR089C
YMR186W	YNR031C
YKL171W	YPL240C
YGR253C	YPR103W
YCR042C	YNL222W
YIR010W	YOR217W
YDR381W	YPL001W
YER151C	YPR181C
YKL215C	YLL026W
YBL032W	YBR108W
YBR052C	YDR039C
YDR295C	YOL090W
YHR014W	YHR185C
YGL077C	YIL121W
YDR265W	YPL031C
YDR510W	YPL240C
YLL039C	YMR275C
YER070W	YIL066C
YHR114W	YOR389W
YFL005W	YLR026C
YAL043C	YBL032W
YJL084C	YNL183C
YGR052W	YNL076W
YFR050C	YPR103W
YLR229C	YMR303C
YDR303C	YGR270W
YLR115W	YPR107C
YBR017C	YOR374W
YGL018C	YPL031C
YJL057C	YLR287C
YJR053W	YLR389C
YDR388W	YLR355C
YBR164C	YPL031C
YDR427W	YMR191W
YGR031W	YIL107C
YDR277C	YJR090C
YDR309C	YLR319C
YFL039C	YNL110C
YJL092W	YLL019C
YKL071W	YPL157W
YBR225W	YNL307C
YDR443C	YNR052C
YEL027W	YLL028W
YBR234C	YLR337C
YHR082C	YLR293C
YBR273C	YLL039C
YIR010W	YMR212C
YBR158W	YGR163W
YFL005W	YOL018C
YBL049W	YHL010C
YBL055C	YFR014C
YDR388W	YOR196C
YIL105C	YKL051W
YBL003C	YOL006C
YBR046C	YLL039C
YER151C	YPR080W
YJR066W	YNL243W
YPL031C	YPL201C
YCL044C	YPR024W
YBR138C	YHR082C
YGR270W	YPL115C
YKL142W	YNL063W
YDR100W	YML110C
YBL002W	YOL054W
YDR028C	YOR267C
YHR018C	YPL240C
YJL057C	YML121W
YKR001C	YLR033W
YGL198W	YNL263C
YCL061C	YKL049C
YBR200W	YNR071C
YKR081C	YOL127W
YDR063W	YNR035C
YDR398W	YJR070C
Q0085	YML081C-A
YMR111C	YPL240C
YBL003C	YJR144W
YLR429W	YPR093C
YDL207W	YPR080W
YKL059C	YPR107C
YBR167C	YIR015W
YHR205W	YJR066W
YER012W	YML092C
YGR202C	YNL189W
YJR066W	YLR378C
YBL011W	YNL307C
YER133W	YOR117W
YDR381W	YMR219W
YDL171C	YER151C
YBL092W	YGR085C
YMR216C	YMR304W
YDR247W	YPR115W
YDR092W	YGL087C
YCR073W-A	YGL059W
YDR171W	YOR181W
YLL039C	YML052W
YER126C	YPL004C
YOL049W	YPL031C
YKR081C	YPL093W
YER095W	YNL085W
YGR188C	YNL265C
YDL084W	YHR027C
YLR113W	YML127W
YBL054W	YNL118C
YPL031C	YPR091C
YLL023C	YML048W
YDR127W	YJR022W
YJL004C	YJR022W
YLR223C	YPL153C
YBL032W	YNL003C
YDR448W	YHR030C
TD(GUC)J1	YLL018C
YBL003C	YGL227W
YLR452C	YMR004W
YBR194W	YGR186W
YGR136W	YPR081C
YDR176W	YER151C
YDR456W	YLR372W
YDL097C	YKL049C
YBL032W	YOR106W
YGL014W	YOL127W
YDR356W	YOR373W
YJR135C	YOL054W
YHR200W	YLR438W
YEL036C	YFL048C
YFR049W	YOR047C
YPL201C	YPR036W
YGR214W	YHR200W
YBR078W	YOL133W
YJR112W	YOL069W
YDR477W	YGL158W
YKL148C	YOL071W
YBR159W	YGL055W
YDR381W	YOL127W
YNL044W	YNL315C
YBL032W	YKL163W
YGL244W	YLR385C
YBL015W	YLL039C
YGL070C	YPR093C
YBL105C	YNL232W
YGR008C	YIL143C
YDR510W	YOR344C
YBL032W	YBR004C
YBR020W	YML051W
YBL002W	YKL139W
YDR477W	YNL218W
YER172C	YMR213W
YJL012C	YJR152W
YNL258C	YOR075W
YDR099W	YDR309C
YER016W	YML085C
YDR277C	YJR022W
YPL006W	YPR032W
YKL167C	YML025C
YFR014C	YMR087W
YLR418C	YML069W
YBR194W	YML017W
YDR301W	YNL222W
YIL076W	YML067C
YBR272C	YEL056W
YBR183W	YLR372W
YFR014C	YKL042W
YBL002W	YKL049C
YGL172W	YJR022W
YJL222W	YKL065C
YEL023C	YJR022W
YDR009W	YOL133W
YAR014C	YER054C
YBR200W	YDR379W
YGR080W	YKL007W
YBL032W	YPR129W
YDR060W	YOL041C
YIL033C	YPL149W
YDL171C	YGR214W
YLL013C	YOL128C
YFR021W	YNL242W
YBR098W	YHR016C
YKL008C	YMR298W
YJL141C	YPL247C
YGR060W	YML075C
YBL093C	YDR381W
YBR159W	YLL023C
YDL051W	YDR510W
YDR490C	YIR044C
YDR159W	YDR381W
YER039C	YGL070C
YMR094W	YPL240C
YBR010W	YGR270W
YBL067C	YHR082C
YIL136W	YNL131W
YOL137W	YPL240C
YGR029W	YLR424W
YGL153W	YMR267W
YBR098W	YKL113C
YIL056W	YNL197C
YDL101C	YPL177C
YEL037C	YHL030W
YKL049C	YNL030W
YKL093W	YKL166C
YBL093C	YPR070W
YER087W	YLR362W
YDR486C	YLR025W
YBR173C	YGR135W
YGL158W	YPL016W
YIL027C	YMR112C
YDL047W	YNR016C
YNR053C	YPL131W
YMR182C	YNL197C
YDR100W	YPL100W
YDR072C	YNL197C
YFR028C	YIL075C
YGL237C	YPL166W
YHR200W	YOR341W
YBL032W	YJR043C
YIL062C	YNL243W
YKL193C	YPL036W
YDR388W	YJR043C
YMR209C	YNL197C
YAL032C	YDR448W
YOR370C	YPR176C
YDL150W	YIR010W
YGL175C	YNL189W
YBR183W	YJL117W
YHL048W	YHR140W
YDR374C	YIL051C
YDR169C	YFR014C
YDL207W	YDR172W
YOR174W	YPL129W
YBR194W	YLL026W
YDR032C	YDR369C
YJL106W	YNL116W
YBL032W	YPR182W
YNL272C	YPL153C
YDR171W	YFR028C
YFL014W	YNL312W
YLR070C	YPL240C
YCR034W	YNL048W
YGL181W	YPL031C
YLL039C	YOR329C
YGL173C	YGR086C
YGR229C	YPL240C
YGL077C	YKL051W
YBL032W	YIL056W
YCL052C	YHR140W
YDR028C	YER133W
YDR087C	YKR081C
YCR093W	YIR010W
