YIL078W	YKL198C
YGL207W	YPL141C
YHR137W	YLR278C
YGR192C	YKL152C
YNR054C	YOL120C
YIL177C	YPR034W
YEL030W	YKL191W
YER029C	YML046W
YDR113C	YGL003C
YBR106W	YIL171W
YMR139W	YMR205C
YLR384C	YNL272C
YDR212W	YKL089W
YGL122C	YJL043W
YBL016W	YGL082W
YAL053W	YCR030C
YGL123W	YJL177W
YBR126C	YLL019C
YKL181W	YNL255C
YGL122C	YNR021W
YIR010W	YNL059C
YDR150W	YDR247W
YAR042W	YGR192C
YGL180W	YHR009C
YDL099W	YGL122C
YGL122C	YNL020C
YAL035W	YEL054C
YHR197W	YNL113W
YDR496C	YNL255C
YBR168W	YDL065C
YCR057C	YMR229C
YDR086C	YOR254C
YBL016W	YHL019C
YLR170C	YPR029C
YGL122C	YKL060C
YBR106W	YCL038C
YER072W	YGL179C
YER029C	YKL173W
YBR106W	YKR106W
YKL152C	YOR098C
YLR259C	YNR051C
YDR301W	YOL145C
YFR014C	YJL136C
YER128W	YFR014C
YDL150W	YNL255C
YGL180W	YLR423C
YBR059C	YNL227C
YER032W	YLR456W
YJL115W	YNL113W
YBL003C	YDR083W
YHR165C	YLR147C
YGR229C	YKR099W
YGL122C	YPL248C
YHR083W	YMR203W
YLR318W	YPL240C
YDR324C	YOL108C
YJL014W	YLR259C
YAL030W	YPR032W
YML001W	YMR231W
YDL019C	YJL207C
YGL031C	YOL127W
YDL127W	YPL031C
YCL011C	YFR004W
YGR159C	YJL164C
YLR196W	YOL041C
YIL035C	YMR173W
YFR004W	YMR226C
YIL019W	YMR128W
YBL030C	YER182W
YGL123W	YNL255C
YFR004W	YPR041W
YER105C	YLL039C
YBR189W	YJR145C
YCR093W	YDR293C
YCR076C	YNL118C
YHR089C	YJR022W
YLL011W	YML093W
YGL031C	YGL122C
YDR207C	YOR355W
YDR087C	YOR063W
YBR130C	YLL039C
YGR089W	YLL039C
YKL049C	YNL055C
YFR046C	YIR010W
YGL122C	YMR017W
YDR244W	YNL329C
YDR212W	YJL014W
YDL043C	YER029C
YCR030C	YKL049C
YDR538W	YMR304W
YDL123W	YLL048C
YIR010W	YMR100W
YGL122C	YJL217W
YCR030C	YNR047W
YFR021W	YGL179C
YDR510W	YOR063W
YNL255C	YPR143W
YBL007C	YOR109W
YAL013W	YKL185W
YDR383C	YKL049C
YBR159W	YNL279W
YJL140W	YNL255C
YDR023W	YKL166C
YHR027C	YIL074C
YJL128C	YKR048C
YLL016W	YLR310C
YER106W	YKL109W
YGR159C	YOL016C
YGL122C	YJR149W
YDR264C	YOR101W
YAL035W	YIR001C
YJL164C	YNL125C
YKL173W	YML046W
YLL039C	YNL012W
YBR207W	YHR094C
YLR265C	YLR424W
YBR198C	YNL216W
YMR173W	YPL126W
YDR224C	YPR052C
YJL187C	YPR139C
YLL039C	YNL074C
YGL122C	YKL025C
YDR471W	YGL147C
YER010C	YGL122C
YBR086C	YHR135C
YDR212W	YJL164C
YBR142W	YDR170C
YGL122C	YML032C
YDL081C	YPR086W
YHR135C	YNL055C
YCR082W	YGL207W
YGR103W	YKL009W
YBR060C	YNL031C
YBR031W	YGR214W
YLR249W	YNL307C
YGL122C	YLR421C
YDR172W	YFL039C
YDR225W	YOR141C
YFR009W	YHL039W
YML001W	YPR028W
YDR238C	YER122C
YGL011C	YKR070W
YAR007C	YBR049C
YAL035W	YDR091C
YBR031W	YDR496C
YKR003W	YPR173C
YGL116W	YJL014W
YBR189W	YCR031C
YDL202W	YNL255C
YDR394W	YOL117W
YFL005W	YNL293W
YBR031W	YBR189W
YGL122C	YGR055W
YJL164C	YLR003C
YFL017W-A	YML049C
YGL059W	YKL181W
YLL039C	YLR219W
YGR295C	YMR221C
YDR044W	YOR093C
YLR011W	YOR028C
YDL047W	YFR019W
YEL009C	YGL201C
YKR024C	YLR233C
YNR051C	YOR063W
YKL159C	YLR433C
YDL052C	YFR009W
YGL092W	YJL039C
YDL065C	YMR047C
YKL060C	YOR117W
YDL128W	YNL154C
YDR238C	YER112W
YBL061C	YMR242C
YLL039C	YLR002C
YCR091W	YNL045W
YDL018C	YGL122C
YBR177C	YOL045W
YDR394W	YFR010W
YGL122C	YPR199C
YGL006W	YML018C
YBR207W	YGL006W
YJR002W	YMR128W
YGL123W	YNR051C
YJR075W	YLL039C
YBL045C	YDR388W
YFR004W	YKL060C
YER006W	YKL014C
YHR191C	YNL290W
YBL003C	YKR092C
YIR010W	YNL262W
YDR240C	YPL178W
YOL059W	YOR117W
YDR012W	YPR189W
YDR087C	YKL009W
YBR261C	YJL151C
YBR247C	YDL060W
YBR159W	YFR004W
YDR063W	YFL039C
YLL039C	YML101C
YLR380W	YLR429W
YHR027C	YPR108W
YNL175C	YPL220W
YBR020W	YPL248C
YLL039C	YNL141W
YAL001C	YDR381W
YGL122C	YJL222W
YOR153W	YPL058C
YFL037W	YKL049C
YBR023C	YKR027W
YHL002W	YMR109W
YDR016C	YLR117C
YMR229C	YPL012W
YJR123W	YPR137W
YBR193C	YGL253W
YFR011C	YOL006C
YAR018C	YOL054W
YGL174W	YGL216W
YGL122C	YJR118C
YMR071C	YOL016C
YDR471W	YOR063W
YDR064W	YFR004W
YKL216W	YNR051C
YCR004C	YMR086W
YER103W	YLR293C
YBL007C	YGR227W
YKL049C	YKR048C
YBR090C	YHR135C
YGL234W	YKL166C
YDR101C	YNL209W
YDR527W	YOR210W
YLL028W	YOR254C
YLR196W	YNR038W
YGL122C	YMR256C
YLR016C	YLR086W
YKL185W	YPL031C
YGR280C	YJL148W
YBR283C	YKL065C
YLL024C	YMR229C
YER034W	YHR135C
YGL122C	YMR187C
YEL005C	YLR408C
YFL038C	YHR027C
YJR022W	YNL227C
YKL064W	YPL031C
YAR007C	YDR129C
YJL081C	YLR085C
YKL064W	YNL307C
YBL003C	YJL076W
YER171W	YMR056C
YGR130C	YNL020C
TL(UAA)J	YAL001C
YHL011C	YOR133W
YBL016W	YPR086W
YGL181W	YHR161C
YLL039C	YOL133W
YFR001W	YNL186W
YGL207W	YOR052C
YER172C	YJR068W
YOL040C	YOR063W
YBR017C	YKL009W
YIL126W	YOR290C
YIL115C	YMR308C
YML074C	YOR080W
YFR004W	YJL052W
YJL020C	YJR115W
YBR050C	YGL122C
YHR135C	YNL167C
YFL039C	YOR117W
YGL122C	YIR032C
YGL122C	YOR319W
YOR233W	YOR294W
YNL255C	YNR032C-A
YKL082C	YOL041C
YDL239C	YKL042W
YGL122C	YJL107C
YIL121W	YLL028W
