Complex_ID,Complex_Size,Complex_Score,Complex_Overlap_Score,Protein_ID,Protein_Name
Complex_18,18,0.9814,0.4091,206,YDR448W
Complex_18,18,0.9814,0.4091,298,YGL112C
Complex_18,18,0.9814,0.4091,714,YNL236W
Complex_18,18,0.9814,0.4091,387,YHR041C
Complex_18,18,0.9814,0.4091,367,YGR252W
Complex_18,18,0.9814,0.4091,862,YPL254W
Complex_18,18,0.9814,0.4091,661,YMR223W
Complex_18,18,0.9814,0.4091,664,YMR236W
Complex_18,18,0.9814,0.4091,828,YPL042C
Complex_18,18,0.9814,0.4091,185,YDR308C
Complex_18,18,0.9814,0.4091,734,YNR010W
Complex_18,18,0.9814,0.4091,160,YDR167W
Complex_18,18,0.9814,0.4091,389,YHR058C
Complex_18,18,0.9814,0.4091,636,YMR005W
Complex_18,18,0.9814,0.4091,762,YOL135C
Complex_18,18,0.9814,0.4091,398,YHR099W
Complex_18,18,0.9814,0.4091,67,YBR253W
Complex_18,18,0.9814,0.4091,92,YCR081W
Complex_19,4,0.9813,1.0,137,YDR013W
Complex_19,4,0.9813,1.0,452,YJL072C
Complex_19,4,0.9813,1.0,766,YOL146W
Complex_19,4,0.9813,1.0,214,YDR489W
Complex_20,11,0.9812,0.0182,359,YGR218W
Complex_20,11,0.9812,0.0182,385,YHR020W
Complex_20,11,0.9812,0.0182,555,YLR180W
Complex_20,11,0.9812,0.0182,637,YMR012W
Complex_20,11,0.9812,0.0182,222,YEL022W
Complex_20,11,0.9812,0.0182,365,YGR240C
Complex_20,11,0.9812,0.0182,547,YLR106C
Complex_20,11,0.9812,0.0182,484,YJR077C
Complex_20,11,0.9812,0.0182,788,YOR151C
Complex_20,11,0.9812,0.0182,269,YFR009W
Complex_20,11,0.9812,0.0182,312,YGL195W
Complex_21,9,0.981,0.1481,124,YDL143W
Complex_21,9,0.981,0.1481,312,YGL195W
Complex_21,9,0.981,0.1481,498,YKL029C
Complex_21,9,0.981,0.1481,637,YMR012W
Complex_21,9,0.981,0.1481,555,YLR180W
Complex_21,9,0.981,0.1481,36,YBR025C
Complex_21,9,0.981,0.1481,547,YLR106C
