Complex_ID,Size,Score,Overlap_Score,Protein_Names,CC_Enriched_Terms,CC_Min_Pvalue,CC_Significant,BP_Enriched_Terms,BP_Min_Pvalue,BP_Significant,MF_Enriched_Terms,MF_Min_Pvalue,MF_Significant,Total_Enriched_Terms,Overall_Min_Pvalue,Overall_Significant
Complex_41,32,0.9293,0.73,YBL026W;YBR055C;YHR165C;YER146W;YCR077C;YJL124C;YDR378C;YER112W;YLR147C;YGR091W;YPR101W;YGR013W;YIL061C;YDR240C;YGR074W;YMR240C;YLR438C-A;YLL036C;YDL098C;YPL213W;YDR416W;YOR308C;YDL043C;YOR159C;YBR065C;YGR278W;YPR082C;YJL203W;YLR424W;YER172C;YBL074C;YGL120C,41,1.63e-49,True,25,1.86e-45,True,4,1.15e-07,True,70,1.63e-49,True
Complex_42,13,0.929,0.547,YDR235W;YGR013W;YIL061C;YHR086W;YDR240C;YPL178W;YLR147C;YPR057W;YGR074W;YBR055C;YHR165C;YLR347C;YER172C,21,4.50e-19,True,23,6.08e-16,True,4,0.005688,True,48,4.50e-19,True
Complex_43,29,0.9275,0.5193,YDR224C;YOR116C;YOR304W;YBR154C;YOR210W;YPR187W;YPR110C;YOR224C;YNL151C;YPR190C;YGL133W;YDR121W;YKL144C;YKR025W;YDR045C;YOR207C;YDL150W;YJL011C;YDR005C;YNL113W;YFR037C;YDR190C;YBL003C;YLR357W;YBR245C;YIL126W;YDR303C;YKR001C;YGL241W,24,3.30e-33,True,43,4.79e-32,True,20,5.99e-25,True,87,3.30e-33,True
Complex_44,19,0.9259,0.4737,YIR009W;YMR240C;YPL213W;YLR147C;YGR091W;YPR101W;YLL036C;YGR074W;YDL098C;YDR416W;YBR055C;YOR308C;YDL043C;YOR159C;YHR165C;YPR082C;YJL203W;YER172C;YLR424W,30,1.38e-33,True,23,6.72e-29,True,1,0.005383,True,54,1.38e-33,True
Complex_45,6,0.925,0.5,YDR121W;YNL262W;YPR175W;YOR304W;YGL133W;YDL051W,9,1.37e-06,True,12,4.74e-04,True,9,5.41e-04,True,30,1.37e-06,True
Complex_46,10,0.922,0.1333,YBR017C;YEL022W;YER110C;YHR020W;YMR012W;YJR077C;YGL195W;YGR218W;YLR347C;YLR335W,1,3.92e-04,True,16,1.02e-04,True,9,5.14e-06,True,26,5.14e-06,True
Complex_47,22,0.9211,0.6682,YGR013W;YIL061C;YPR057W;YGR074W;YLR147C;YGR091W;YDR240C;YMR240C;YBL026W;YDL098C;YPL213W;YDR235W;YBR055C;YOR308C;YOR159C;YHR165C;YPR082C;YPL178W;YJL203W;YER172C;YHR086W;YBL074C,27,1.02e-40,True,23,5.03e-34,True,3,1.55e-05,True,53,1.02e-40,True
Complex_48,15,0.9192,0.4667,YDR211W;YLR291C;YOR260W;YER025W;YKR026C;YGR083C;YPL237W;YPR010C;YBR079C;YLR215C;YPR041W;YMR146C;YMR309C;YBR143C;YBR048W,19,6.50e-12,True,19,1.05e-18,True,9,4.84e-20,True,47,4.84e-20,True
Complex_49,19,0.9148,0.5263,YDL111C;YDR280W;YPR189W;YGR158C;YGR095C;YHR081W;YCR035C;YOL021C;YGR195W;YOR001W;YNL232W;YGL213C;YMR116C;YGR285C;YLR398C;YHR010W;YOR063W;YDR064W;YJR123W,15,3.61e-22,True,83,2.66e-19,True,4,1.11e-04,True,102,3.61e-22,True
Complex_50,19,0.9137,0.4737,YBR079C;YPL237W;YER025W;YPR041W;YOR361C;YDR429C;YLR215C;YMR146C;YLR192C;YMR309C;YDR211W;YDR091C;YBR143C;YAL035W;YLR291C;YOR260W;YGR083C;YKR026C;YPL081W,19,5.49e-20,True,30,1.52e-29,True,7,4.25e-32,True,56,4.25e-32,True
Complex_51,4,0.9128,1.0,YJL184W;YML036W;YKR038C;YGR262C,6,4.95e-11,True,29,4.86e-06,True,0,0.098896,False,35,4.95e-11,True
Complex_52,14,0.9125,0.6429,YAR003W;YKL018W;YHR119W;YDR469W;YBR258C;YGR156W;YDR301W;YNL222W;YBR175W;YKR002W;YLR277C;YPR107C;YOR179C;YJR093C,12,2.16e-19,True,24,3.11e-07,True,12,2.35e-11,True,48,2.16e-19,True
Complex_53,7,0.911,0.4286,YBL003C;YDR224C;YGL241W;YGL133W;YOR304W;YOR116C;YBL002W,6,1.31e-04,True,1,0.019453,True,3,3.59e-04,True,10,1.31e-04,True
Complex_54,10,0.91,0.3,YGL213C;YPR189W;YLR398C;YGR158C;YDL111C;YGR285C;YDR280W;YMR116C;YHR010W;YOR063W,10,2.05e-06,True,57,1.04e-06,True,0,0.101726,False,67,1.04e-06,True
Complex_55,15,0.909,0.6,YBR079C;YMR146C;YPL081W;YER025W;YPR041W;YOR361C;YDR429C;YMR309C;YLR192C;YPL237W;YDR091C;YAL035W;YJR145C;YCL011C;YOR204W,17,1.79e-21,True,23,1.02e-18,True,9,1.26e-22,True,49,1.26e-22,True
Complex_56,9,0.9089,0.3556,YAL011W;YPL235W;YDR190C;YOR304W;YPL129W;YLR385C;YOR136W;YCR060W;YDL002C,17,7.66e-11,True,4,1.47e-05,True,2,0.011679,True,23,7.66e-11,True
Complex_57,12,0.9084,0.5104,YIL084C;YOL004W;YNL330C;YMR075W;YPR023C;YMR263W;YPL181W;YHR099W;YHR090C;YNL136W;YEL018W;YIL035C,17,5.74e-13,True,77,1.06e-10,True,5,0.002459,True,99,5.74e-13,True
Complex_58,9,0.9083,0.4444,YGL019W;YIL035C;YOR061W;YOR123C;YGL244W;YOL145C;YLR418C;YKL088W;YIL084C,14,3.28e-13,True,63,1.68e-11,True,11,2.56e-08,True,88,3.28e-13,True
Complex_59,19,0.9078,0.583,YDR224C;YIL126W;YGL133W;YOR304W;YFR013W;YDR121W;YBR245C;YOR116C;YFR037C;YMR033W;YLR321C;YLR357W;YML127W;YGR056W;YCR052W;YKR008W;YCR020W-B;YMR091C;YPR034W,16,1.62e-31,True,58,2.70e-24,True,8,1.39e-12,True,82,1.62e-31,True
Complex_60,6,0.9077,0.8333,YBR087W;YNL290W;YOL094C;YOR144C;YOR217W;YMR078C,4,3.71e-10,True,16,3.17e-08,True,24,1.48e-11,True,44,1.48e-11,True
Complex_61,9,0.9057,0.5556,YDR190C;YPL235W;YGR002C;YOR304W;YPL129W;YPR023C;YLR385C;YAL011W;YOR136W,20,7.66e-11,True,11,1.38e-07,True,2,0.011679,True,33,7.66e-11,True
Complex_62,20,0.9056,0.301,YBR245C;YDR190C;YOR304W;YFR013W;YGL133W;YDR121W;YOR116C;YPL129W;YOR207C;YLR385C;YFR037C;YAL011W;YPL235W;YIL126W;YLR357W;YLR052W;YCR052W;YKR008W;YDR224C;YMR091C,34,1.08e-30,True,51,7.64e-17,True,17,1.52e-05,True,102,1.08e-30,True
Complex_63,13,0.9053,0.4103,YDR224C;YIL126W;YDR303C;YLR357W;YOR304W;YGL133W;YFR037C;YMR033W;YLR321C;YOR116C;YML127W;YGR056W;YBR245C,11,7.02e-19,True,59,7.20e-15,True,8,1.61e-04,True,78,7.02e-19,True
Complex_64,11,0.9048,0.4455,YGR156W;YKL018W;YLR448W;YMR061W;YLR277C;YDR301W;YHR119W;YNL222W;YDR469W;YKR002W;YBR175W,8,1.60e-13,True,15,9.36e-07,True,11,2.93e-06,True,34,1.60e-13,True
Complex_65,20,0.9046,0.45,YBR079C;YMR146C;YMR309C;YPR041W;YAL035W;YLR192C;YDR091C;YER025W;YOR361C;YDR429C;YPL237W;YGL076C;YLL045C;YOR063W;YDL082W;YNL178W;YBR031W;YDR496C;YOR204W;YFR031C-A,21,1.10e-19,True,26,4.00e-17,True,9,3.44e-20,True,56,3.44e-20,True
Complex_66,16,0.9045,0.2784,YBR245C;YFR013W;YGL133W;YOR304W;YDR121W;YFR037C;YIL126W;YOR207C;YLR357W;YCR052W;YDR224C;YKR008W;YMR091C;YDR303C;YKR001C;YDR190C,12,2.57e-22,True,52,9.30e-12,True,11,1.68e-06,True,75,2.57e-22,True
Complex_67,19,0.9045,0.4737,YMR146C;YOR204W;YPL081W;YER025W;YPR041W;YBR079C;YOR361C;YDR429C;YMR309C;YGR085C;YLR192C;YAL035W;YDR091C;YPL249C-A;YML073C;YGL030W;YMR142C;YNL301C;YLR029C,21,9.92e-18,True,23,5.39e-18,True,8,5.28e-18,True,52,5.28e-18,True
Complex_68,4,0.9043,1.0,YOR038C;YJR140C;YBL008W;YBR215W,2,9.90e-12,True,18,0.00437,True,6,1.11e-06,True,26,9.90e-12,True
Complex_69,4,0.9043,1.0,YBR215W;YOR038C;YJR140C;YBL008W,2,9.90e-12,True,18,0.00437,True,6,1.11e-06,True,26,9.90e-12,True
Complex_70,17,0.9035,0.4183,YGR156W;YHL033C;YKR002W;YKL018W;YDR301W;YNL222W;YLR277C;YLL045C;YOR063W;YPR107C;YOR179C;YGL076C;YGL103W;YGR085C;YML073C;YNL178W;YDR471W,11,2.26e-15,True,22,2.33e-06,True,4,2.56e-06,True,37,2.26e-15,True
