YDR060W	YMR242C
YBL032W	YDL233W
YBL032W	YOR273C
YBL032W	YGL192W
YDR001C	YLL039C
YDL029W	YDR063W
YJR153W	YNL197C
YMR304W	YOR326W
YBL032W	YBL051C
YIL034C	YIL062C
YJL154C	YLL039C
YGL175C	YPR119W
YGL112C	YMR227C
YPL049C	YPL070W
YDR334W	YOL012C
YHR073W	YJL164C
YDR308C	YNL236W
YEL026W	YHR013C
YLR029C	YOR096W
YBR185C	YOL027C
YPL240C	YPR128C
YNL236W	YPL042C
YDR162C	YGL071W
YDR036C	YJR101W
YHR013C	YOR253W
YAR019C	YPL124W
YCR100C	YNL307C
YBL032W	YDR505C
YGL097W	YLR335W
YLL039C	YOR099W
YJL187C	YOR123C
YMR043W	YMR227C
YDL059C	YGR086C
YCL024W	YOR141C
YKL049C	YPL063W
YKL173W	YMR125W
YGR113W	YLR424W
YDL123W	YML121W
YJL187C	YPR119W
YIL075C	YKL145W
YCR077C	YDL184C
YLR153C	YOL013C
YNL136W	YOR244W
YDR510W	YER029C
YHR096C	YPR138C
YKL049C	YKR046C
YKL049C	YOR117W
YBL032W	YMR041C
YGL017W	YNL157W
YGL048C	YGL141W
YAL017W	YKL035W
YHR027C	YKL029C
YGL006W	YLL039C
YLL039C	YNL305C
YDR510W	YER155C
YEL046C	YHR200W
YDL029W	YIL062C
YDL198C	YML065W
YBR109C	YPL031C
YCR014C	YKL145W
YDR163W	YPL240C
YGL207W	YHR200W
YBL032W	YDR522C
YDL030W	YKL173W
YAL022C	YNL197C
YDR377W	YPL078C
YAL017W	YDR259C
YDR185C	YKL053C-A
YDL140C	YDR356W
YBR241C	YML012W
YBR010W	YPR019W
YIR003W	YPL031C
YER063W	YKR048C
YMR193W	YOL027C
YBL032W	YMR124W
YJL164C	YOR386W
YMR080C	YOL123W
YER062C	YLL039C
YCR081W	YMR112C
YGR002C	YOR244W
YML031W	YPR021C
YBL032W	YBR162C
YBL032W	YDR155C
YLR378C	YMR149W
YOL029C	YPL240C
YER105C	YKL057C
YCR030C	YOR181W
YJL092W	YMR219W
YKL065C	YMR149W
YBR088C	YDR097C
YHR158C	YPR119W
YDR229W	YOR181W
YBR289W	YNL031C
YDL047W	YDR188W
YBL051C	YPL240C
YJR121W	YML065W
YDL052C	YDL143W
YBR193C	YNL236W
YGR258C	YJL092W
YNR011C	YPR178W
YDR485C	YFL039C
YDL031W	YLR029C
YBR159W	YGL104C
YEL061C	YLR454W
YKL067W	YNL030W
YGR188C	YMR304W
YDL153C	YJL164C
YAR031W	YCR030C
YDR411C	YDR479C
YDL084W	YDR159W
YDR288W	YOR358W
YDR194C	YDR365C
YAL032C	YKL173W
YHR135C	YOL153C
YER177W	YLR433C
YBR193C	YBR253W
YML049C	YMR117C
YLL036C	YMR125W
YBL032W	YJL083W
YLR219W	YOR181W
YLL036C	YLR016C
YKL129C	YOR247W
YLR275W	YMR288W
YBL002W	YLR442C
YKR026C	YLR289W
YDR188W	YKL104C
YDR388W	YOR329C
YDL113C	YFR028C
YLL039C	YMR080C
YML049C	YMR125W
YBR109C	YGL106W
YBL007C	YHL002W
YER164W	YGL207W
YKL049C	YPL001W
YBL032W	YPR160W
YDR212W	YHR027C
