YFR004W	YJL052W
YJL020C	YJR115W
YHR135C	YNL167C
YFL039C	YOR117W
YHR183W	YHR200W
YFR004W	YMR202W
YHR200W	YNL239W
YIL121W	YLL028W
YNR007C	YPL031C
YER043C	YHR200W
YER032W	YHR114W
YHR027C	YOL038W
YBL103C	YJR066W
YGR132C	YNL055C
YDL029W	YLR337C
YBR082C	YPL153C
YGL213C	YGR008C
YBR169C	YPL012W
YMR059W	YNR008W
YDL029W	YDR523C
YER133W	YFR004W
YDR229W	YPR152C
YGL023C	YNL183C
YDR045C	YDR328C
YPL055C	YPL124W
YCR012W	YOR117W
YGL200C	YML048W
YNL162W	YOL097C
YBL097W	YHL002W
YDL031W	YNL182C
YIL004C	YLR093C
YGR009C	YPL232W
YLL039C	YMR261C
YGL116W	YNL024C
YLR093C	YPL031C
YER120W	YFR004W
YDR510W	YOR099W
YER124C	YHR200W
YDR100W	YFR024C-A
YGL003C	YJL106W
YER166W	YOL115W
YDL060W	YDR381W
YDR353W	YOL128C
YMR314W	YPR103W
YBL023C	YGL201C
YFR024C-A	YJL004C
YDL021W	YKL214C
YJR125C	YOR111W
YBL047C	YOL016C
YML065W	YPL220W
YNL055C	YOR117W
YGL104C	YJL133W
YDR381W	YIL095W
YKL029C	YOL038W
YLR310C	YNL025C
YCL039W	YPL139C
YGR129W	YMR213W
YBR011C	YPL111W
YGR030C	YIR015W
YBR065C	YDR429C
YDR041W	YJR113C
YDL171C	YFR004W
YJR059W	YKL181W
YBR254C	YGR143W
YNL306W	YPL013C
YGL179C	YNL293W
YGL234W	YOR117W
YHR181W	YPL050C
YDL222C	YHL016C
YGL137W	YIL136W
YAL025C	YOR267C
YFR004W	YLR060W
YHR200W	YNL302C
YHR058C	YPL042C
YDL092W	YDR381W
YGR103W	YOL077C
YEL034W	YNL085W
YHR027C	YOR374W
YFL017W-A	YLR298C
YDR225W	YPL043W
YDL145C	YDR238C
YGR111W	YLL039C
YGL179C	YGR135W
YBR285W	YHR079C
YGR082W	YPR133W-A
YDL147W	YOR259C
YML124C	YPR141C
YHR135C	YIL115C
YGL026C	YOR117W
YHR200W	YLL039C
YDL003W	YIL026C
YDR430C	YER178W
YOL091W	YOR373W
YBR173C	YPL031C
YDL028C	YIL144W
YJL011C	YPR190C
YDL095W	YFR004W
YDR100W	YPL095C
YAL013W	YPL139C
YDL140C	YOR124C
YLR396C	YMR197C
YDR195W	YLR115W
YOR127W	YOR326W
YOL016C	YPL138C
YBR279W	YDL140C
YBR235W	YNR047W
YLR019W	YLR310C
YHR064C	YJR145C
YAR027W	YHR048W
YDR381W	YMR123W
YHR114W	YIL132C
YER006W	YFR031C-A
YDR096W	YIR006C
YCL009C	YER110C
YDR322W	YKR085C
YDL159W	YGR287C
YDL030W	YDR421W
YBR048W	YDR510W
YNL041C	YOR304C-A
YCL035C	YLL039C
YKL109W	YOR290C
YER008C	YGR218W
YER167W	YER177W
YDL214C	YMR165C
YDR482C	YKL095W
YER049W	YML131W
YBL101C	YER177W
YDL140C	YJL168C
YBR098W	YDR386W
YBL030C	YOR065W
YPL248C	YPR086W
YFR051C	YLR268W
YKL009W	YNL002C
YML124C	YNL055C
YCL043C	YJR076C
YDR510W	YKR025W
YAL038W	YPR129W
YDL028C	YNL116W
YDL120W	YLL041C
YJL020C	YPL031C
YGL180W	YKL023W
YLR015W	YPL138C
YCL014W	YPR119W
YDR510W	YOR374W
YDR118W	YOR249C
YBR263W	YFR031C-A
YDR099W	YJL141C
YLL039C	YMR207C
YDL116W	YPL169C
YJR066W	YKL161C
YBR152W	YPR178W
YER021W	YGL004C
YHR027C	YOR117W
YBL003C	YCL054W
YIL107C	YLL039C
YMR288W	YPR182W
YDR510W	YOL116W
YGL059W	YNR039C
YJR076C	YNL166C
YDR028C	YER129W
YJL146W	YPL154C
YDR264C	YOL018C
YBR108W	YCR009C
YBR035C	YDL214C
YGL019W	YGR063C
YDL007W	YKL145W
YDR032C	YMR106C
YDR239C	YGL180W
YDR074W	YHR082C
YNL031C	YPR023C
YDR381W	YIR001C
YER062C	YKL069W
YEL002C	YOL003C
YGR060W	YKL008C
YFR027W	YPL008W
YGL172W	YJL057C
YDL143W	YHR200W
YDR265W	YOL044W
YDR510W	YPL269W
YHR098C	YJR048W
YBR262C	YLL039C
YKL058W	YML015C
YAL038W	YHR027C
YML012W	YPR181C
YGR218W	YLR113W
YDL195W	YPL249C-A
YDL002C	YOR304W
YDR168W	YGR123C
YBR199W	YOL018C
YBR105C	YIL097W
YHR114W	YPR171W
YBR011C	YDR510W
YDL160C	YPR082C
YGR086C	YMR059W
YDL147W	YHR200W
YLL043W	YMR104C
YNL138W	YNR035C
YDR107C	YGL200C
YML017W	YPL055C
YJR045C	YLR203C
YDL139C	YJL030W
YBR126C	YDR028C
YLL039C	YPL225W
YDR195W	YDR381W
YER008C	YFL005W
YLL049W	YMR294W
YDR510W	YJL042W
YCL028W	YER125W
YCR009C	YPR152C
YDL101C	YER125W
YDL097C	YHR200W
YIL075C	YKL029C
YBL050W	YLR268W
YNL197C	YOR052C
YGL056C	YHL016C
YHL024W	YOL100W
YCR068W	YFL062W
YLR103C	YNL330C
YGR205W	YKL168C
YLL039C	YMR280C
YFR051C	YGL137W
YBL085W	YML109W
YBR241C	YIR038C
YAL013W	YPL181W
YLR413W	YNL197C
YMR191W	YOR259C
YDR260C	YOR303W
YDR359C	YJL081C
YER110C	YOR136W
YKL095W	YMR213W
YHR140W	YJL214W
YBR020W	YMR117C
YDL215C	YLL039C
YFR027W	YJL019W
YFR015C	YIL045W
YGL205W	YLL039C
YBL050W	YLR093C
YDR379W	YKL166C
YDR247W	YIL033C
YFR004W	YIL075C
YMR048W	YOR124C
YDR498C	YML058W
YLL039C	YOR163W
YEL009C	YFL024C
YDL100C	YOR007C
YFR029W	YNL197C
YGR097W	YKL116C
YDR032C	YHR001W
YJR084W	YOL117W
YHR200W	YOR176W
YGR133W	YOL147C
YHR134W	YLL039C
YDR227W	YDR510W
YLR438W	YPL150W
YBR108W	YIL095W
YOR210W	YPR190C
YKL009W	YOL077C
YJR005W	YKL135C
YBR279W	YLL063C
YDR310C	YFR024C-A
YDL007W	YGL004C
YHR190W	YHR200W
YDL134C	YPL152W
YJL082W	YMR029C
YCR028C-A	YLR413W
YER178W	YOR090C
YCR042C	YNL222W
YCR038C	YLR353W
YHR014W	YHR185C
YDR265W	YPL031C
YDR127W	YKL145W
YBR177C	YFR004W
YCL009C	YNL157W
YCR030C	YGR241C
YFR050C	YPR103W
YDR247W	YGL208W
YLR115W	YPR107C
YDR510W	YER032W
YDR245W	YJL183W
YIL095W	YPR152C
YDR162C	YDR277C
YGR031W	YIL107C
YBL034C	YFL037W
YBR234C	YDL029W
YDR277C	YJR090C
YDL029W	YMR216C
YKL116C	YPR013C
YDL140C	YOR117W
YGR284C	YHL048W
YBL007C	YER027C
YDL030W	YER172C
YDR060W	YJL033W
YLR337C	YNL084C
YPL131W	YPL249C-A
YLR258W	YOL100W
YHR105W	YNL263C
YDR379W	YER021W
YHR148W	YPL126W
YBR234C	YLR337C
YDL134C	YDR523C
YBR273C	YLL039C
YDR264C	YKR088C
YIL115C	YML031W
YGL137W	YLL039C
YJL094C	YLL039C
YOR327C	YPL232W
YBR158W	YGR163W
YKL145W	YOL117W
YFL005W	YOL018C
YDL029W	YOR259C
YER164W	YOR207C
YNR011C	YOR148C
YDR251W	YDR466W
YBR046C	YLL039C
YPL031C	YPL201C
YBR138C	YHR082C
YJL189W	YMR139W
YER177W	YGL181W
YDL116W	YML031W
YBR196C	YLR088W
YDR100W	YML110C
YMR032W	YOR181W
YHR082C	YNL155W
YDR028C	YOR267C
YJL057C	YML121W
YKR001C	YLR033W
YGL198W	YNL263C
YFR024C-A	YMR259C
YOR110W	YPL007C
YKL058W	YOR093C
YDR063W	YNR035C
YJL033W	YLR150W
Q0085	YML081C-A
YBL003C	YJR144W
YBR119W	YLR298C
YDR510W	YOR123C
YKR088C	YOL018C
YBR167C	YIR015W
YHR205W	YJR066W
YGL137W	YKL166C
YOL072W	YPL031C
YER012W	YML092C
YGL116W	YPR119W
YJL143W	YJR045C
YJR066W	YLR378C
YMR106C	YOR142W
YDR483W	YLR166C
YER133W	YOR117W
YBR088C	YDR409W
YMR216C	YMR304W
YCR073W-A	YGL059W
YHR027C	YKR043C
YDR171W	YOR181W
YBL030C	YGL137W
YDL222C	YIL105C
YLL039C	YML052W
YBL003C	YMR223W
YOL049W	YPL031C
YDL089W	YPR028W
YER095W	YNL085W
YGR188C	YNL265C
YDL084W	YHR027C
YLR113W	YML127W
YIL115C	YOR046C
YBL041W	YER105C
YGL201C	YGR103W
YPL031C	YPR091C
YDR207C	YPL181W
YDR368W	YFR004W
YHR023W	YOR326W
YGL181W	YGR178C
YDR439W	YGL180W
TD(GUC)J1	YLL018C
YBL003C	YGL227W
YGR130C	YJL165C
YLR109W	YNL079C
YDR195W	YJL033W
YCR028C-A	YOR273C
YGL116W	YIL142W
YGR017W	YLR072W
YJR001W	YPL203W
YDL095W	YHR200W
YBL087C	YGL227W
YJL036W	YOR132W
YHR200W	YLR438W
YDR510W	YOR144C
YER178W	YLR166C
YDR510W	YML010W
YER173W	YPL194W
YLR203C	YLR429W
YDR419W	YPR160W
YDR477W	YGL158W
YDL007W	YOR259C
YKL148C	YOL071W
YER027C	YER162C
YDR189W	YOR327C
YBR159W	YGL055W
YDR143C	YNL225C
YGR109C	YJL157C
YGL247W	YOR103C
YGL244W	YLR385C
YBL015W	YLL039C
YGR130C	YOR273C
YFR004W	YLL018C
YFR022W	YJR010C-A
YFR024C-A	YMR302C
YPL012W	YPR175W
YFR004W	YLR058C
YER133W	YPR160W
YBR156C	YNL162W
YDL006W	YPL141C
YGR008C	YIL143C
YCR091W	YMR216C
YGL019W	YML069W
YBR020W	YML051W
YBR279W	YML069W
YDR477W	YNL218W
YGL181W	YPL049C
YAL032C	YJL103C
YDL060W	YIL095W
YER172C	YMR213W
YEL034W	YKL047W
YER165W	YOR117W
YNL258C	YOR075W
YDR430C	YFL018C
YBR095C	YDR207C
YLR148W	YPL045W
YBR036C	YJL214W
YKL016C	YLR166C
YMR173W	YMR216C
YFR004W	YJL055W
YMR106C	YPR175W
YJL222W	YKL065C
YLR131C	YPR086W
YDL001W	YLL039C
YKL181W	YPL031C
YDR168W	YGL201C
YBR088C	YER041W
YBR279W	YGL019W
YML010W	YPL228W
YBL087C	YKL117W
YGR284C	YPL218W
YFR031C-A	YJL191W
YLR117C	YPR152C
YLR117C	YNR011C
YKL008C	YMR298W
YJR102C	YMR077C
YJL141C	YPL247C
YGR060W	YML075C
