T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12
YEL026W	0	0	1	0	0	1	1	1	1	1	1	1
YKL155C	1	1	0	0	0	0	0	1	1	1	1	1
YOR389W	1	1	1	1	1	1	1	1	0	0	0	0
YGR081C	0	0	0	1	1	1	1	1	1	1	1	1
YJL053W	1	1	1	1	1	1	1	0	1	1	0	0
YGR021W	1	1	0	0	0	0	0	0	1	1	1	1
YML092C	0	1	1	1	1	1	1	1	0	0	0	0
YOL117W	1	1	1	1	1	1	1	0	0	1	0	1
YNL111C	0	1	1	1	1	1	1	1	1	0	1	1
YMR159C	1	1	1	1	1	1	1	1	0	0	0	0
YNR013C	1	0	0	0	1	1	1	1	1	1	1	1
YDL175C	1	1	1	1	1	1	1	0	1	0	1	1
YHL032C	1	1	1	1	1	1	1	0	0	0	0	0
YAL043C	1	1	1	1	0	1	1	1	1	1	0	0
YCL044C	0	1	1	1	1	1	1	1	0	0	0	0
YGR267C	1	1	0	1	0	1	0	1	1	1	1	1
YDR537C	1	1	1	1	0	1	1	0	1	1	0	0
YNL207W	0	0	0	1	1	1	1	1	1	1	1	1
YDR283C	1	1	1	1	1	1	1	0	0	0	0	1
YOR290C	1	1	1	1	1	1	1	0	1	0	0	0
YNL002C	0	0	1	1	1	1	1	1	1	1	1	1
YIR019C	1	1	1	1	1	0	1	0	0	1	1	0
YJL051W	1	1	1	1	1	0	0	0	0	0	1	1
YDR038C	1	1	0	0	1	1	1	1	1	1	0	0
YNL048W	1	0	1	0	1	0	1	1	1	1	1	1
YDL188C	0	1	1	1	1	1	1	0	1	0	0	0
YLR452C	0	1	1	1	1	1	0	0	1	0	1	0
YGL045W	0	1	1	1	1	1	1	1	1	0	0	0
YPL016W	1	1	1	1	1	1	0	0	1	0	1	1
YDL028C	1	1	1	1	1	0	1	0	0	1	0	1
YIL146C	1	1	1	1	1	1	1	0	0	0	0	0
YNL050C	0	1	1	0	1	1	1	1	1	1	1	1
YEL041W	1	1	1	1	1	1	1	1	0	0	0	0
YLR372W	1	0	0	0	0	0	0	1	1	1	1	1
YBL089W	1	1	1	0	0	1	1	0	1	1	0	1
YGL157W	1	1	1	0	1	1	1	1	0	0	1	1
YDR075W	1	0	1	1	1	1	1	1	1	1	1	1
YDR007W	1	1	1	1	1	1	1	1	0	0	0	0
YGL110C	0	1	0	1	1	0	1	1	1	1	1	1
YOR220W	1	1	1	1	1	1	1	0	1	1	0	0
YJR105W	1	0	0	1	0	0	0	1	1	1	1	1
YPL082C	0	1	1	1	1	1	1	1	1	0	0	0
YGL215W	0	1	1	1	0	1	1	1	1	0	0	0
YLR150W	1	0	0	0	1	0	1	1	1	1	1	1
YBR026C	0	1	1	1	1	1	1	1	0	0	0	0
YML011C	1	0	0	0	0	1	1	1	1	1	1	1
YGR253C	0	1	1	1	1	1	1	0	0	1	1	1
YER147C	1	1	1	1	1	1	1	1	1	0	0	0
YPL154C	1	1	1	1	1	1	1	1	0	0	0	0
YJL217W	1	1	1	1	1	1	0	0	0	0	0	1
YDR023W	1	0	0	0	0	0	0	1	1	1	1	1
YOR173W	1	1	1	1	1	1	1	1	0	0	0	0
YLR419W	1	1	1	1	1	1	1	1	1	0	0	0
YKL100C	1	1	1	1	1	1	1	0	0	0	0	0
YLR087C	1	1	1	1	1	1	1	1	0	0	0	1
YKL211C	1	1	1	0	1	1	1	1	1	0	0	1
YLL058W	0	1	1	1	1	1	1	1	0	0	0	0
YJL039C	1	0	0	1	1	1	0	1	1	1	1	1
YJR156C	1	1	1	1	1	1	0	0	0	1	1	1
YDR491C	0	1	1	1	1	1	1	1	0	0	0	0
YOR336W	1	1	0	0	0	0	1	1	1	1	1	1
YDL181W	1	1	1	1	1	1	0	0	0	1	1	1
YLR178C	1	1	1	1	1	1	1	1	0	0	0	0
YBR154C	0	0	1	1	1	1	1	1	1	1	1	1
YOR171C	1	1	1	0	0	1	0	1	1	1	0	1
YJR162C	1	1	1	1	1	1	1	0	1	0	0	0
YGR115C	1	1	1	1	1	0	1	0	1	0	1	0
YOR236W	1	1	1	1	1	1	1	1	0	0	0	1
YDR183W	1	1	0	0	0	0	1	1	1	1	1	1
YJR036C	1	1	1	1	1	1	1	0	0	0	0	0
