	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12
YHR149C	1	0	0	0	0	0	0	1	1	1	1	1
YOR322C	1	1	1	1	1	1	1	1	0	1	0	0
YOR297C	0	1	1	1	0	0	0	1	1	1	1	1
YBL099W	1	1	1	1	0	0	0	0	0	1	1	1
YMR276W	1	1	1	1	1	1	1	0	0	0	0	0
YOR037W	1	1	1	1	0	0	0	0	1	1	1	1
YAR008W	1	1	1	0	0	0	0	0	1	1	1	1
YNL229C	1	0	1	0	0	0	1	1	1	0	1	1
YNL145W	1	0	1	0	1	0	1	1	1	0	1	1
YDR082W	0	0	1	1	1	1	1	0	0	1	1	1
YDL109C	1	0	1	0	0	0	1	1	1	1	1	1
YOR299W	1	1	0	0	0	0	0	1	1	1	1	1
YLR291C	0	0	0	1	1	1	1	1	1	1	1	1
YDR229W	1	1	1	1	1	1	1	0	0	0	0	0
YMR004W	1	1	1	1	1	1	1	1	0	1	1	1
YDL205C	1	0	0	0	0	0	0	1	1	1	1	1
YPL071C	0	0	1	1	1	1	1	1	1	1	0	1
YNL030W	1	1	1	1	0	0	0	0	0	1	1	1
YBR293W	1	0	1	0	0	1	1	0	1	1	1	1
YMR022W	1	1	1	1	1	0	0	0	1	1	0	0
YGR065C	1	1	0	0	1	0	0	0	1	1	1	1
YDR432W	1	0	0	1	0	1	1	1	1	1	1	1
YOL154W	1	1	1	1	1	1	1	1	0	0	0	0
YPL175W	0	0	1	0	0	1	1	1	1	1	1	1
YBL035C	1	0	0	0	0	0	0	0	1	1	1	1
YLR439W	1	1	0	0	0	0	0	0	1	1	1	1
TD(GUC)J1	1	1	0	0	1	0	1	1	1	1	1	1
YDR365C	0	1	1	1	1	1	1	1	1	1	1	1
YHR064C	1	0	0	0	0	0	0	1	1	1	1	1
YBL058W	1	1	1	1	1	1	1	0	0	1	0	0
YPL029W	1	0	1	0	0	0	0	0	1	1	1	1
YKL006W	1	0	0	1	1	1	1	1	1	1	1	1
YAL005C	0	1	1	1	1	1	1	0	1	1	0	0
YMR184W	1	0	1	1	1	0	1	1	0	1	1	1
YMR142C	0	0	1	1	0	0	1	1	1	1	1	1
YHR070W	1	0	1	1	1	1	1	1	1	1	1	1
YDL146W	1	1	1	1	0	1	1	0	1	1	1	1
YLR457C	0	1	1	0	1	1	1	0	1	1	1	1
YJR110W	1	1	1	1	1	1	0	0	0	0	1	1
YMR154C	1	1	1	1	1	0	1	0	0	0	1	1
YGL143C	1	1	0	0	0	0	0	0	1	1	1	1
YDL059C	1	0	1	1	0	0	0	1	1	1	1	1
YFL007W	1	1	1	1	1	1	1	1	0	0	0	0
YKL088W	1	1	0	1	1	1	0	1	1	1	1	1
YER141W	1	1	1	1	1	0	1	0	0	1	1	1
YKR101W	0	1	1	1	1	1	1	0	0	0	1	1
YDR098C	1	0	0	0	0	0	0	1	1	1	1	1
YLR079W	1	1	1	1	1	1	1	0	1	0	0	0
YDR019C	1	0	0	1	0	1	1	1	1	1	1	1
YGR286C	1	1	1	1	1	0	1	1	1	1	1	1
YER029C	0	1	1	1	1	1	0	1	1	1	0	1
YFL030W	1	1	1	1	0	0	1	0	0	1	1	1
YHR089C	1	0	0	0	0	0	1	1	1	1	1	1
YJL025W	1	1	1	0	1	1	1	1	1	1	1	1
YGL104C	1	1	1	1	1	1	1	0	0	1	1	0
YDR493W	1	1	0	0	0	0	0	0	1	1	1	1
YJL138C	1	0	0	0	1	1	1	1	1	1	1	1
TS(AGA)J	1	1	1	0	1	1	1	1	1	0	0	0
TS(UGA)P	1	0	0	0	1	1	1	0	1	1	1	1
YOR117W	1	1	1	1	1	1	1	1	0	0	0	0
YHR150W	1	1	1	1	1	1	1	1	0	0	0	0
YHR026W	1	1	0	1	1	0	1	1	1	1	1	1
YGL082W	1	1	1	1	0	0	1	0	0	1	1	1
YLR361C	1	1	1	0	1	0	0	1	1	1	1	0
YIL066C	0	1	0	1	1	1	1	1	0	0	0	0
YLR001C	1	1	1	1	1	1	1	0	1	0	0	0
YKL156W	0	0	0	1	1	1	1	1	1	1	1	1
YPL227C	0	0	1	0	0	0	0	1	1	1	1	1
YOR209C	1	0	0	0	0	0	1	1	1	1	1	1
YDL193W	1	1	1	1	1	1	1	0	0	0	0	0
YML095C	0	0	1	1	1	0	1	1	0	1	1	1
YLR360W	1	1	1	1	1	1	1	0	0	0	1	1
YDR383C	1	1	1	1	1	1	1	1	0	1	1	1
YMR015C	0	0	1	1	1	1	1	1	1	0	1	1
YPL257W	1	1	1	1	1	1	1	0	0	0	0	0
YNL322C	1	1	1	1	1	1	1	1	1	0	0	0
YDL106C	1	1	1	1	1	1	0	0	0	0	1	1
YLR183C	1	1	0	0	0	0	0	0	1	1	1	1
YDR516C	1	1	1	1	1	0	0	0	1	1	1	1
YPL214C	1	0	0	0	0	0	1	1	1	1	1	1
YAR019C	1	1	1	1	1	1	1	0	1	0	0	0
YOL143C	1	1	1	1	1	1	1	1	0	0	0	0
YDR339C	0	0	0	0	1	1	1	1	1	1	1	1
YCL052C	1	1	1	1	1	1	1	0	1	1	0	0
YCR020W-B	0	0	0	1	1	1	1	1	1	1	1	1
YDR121W	0	1	1	0	0	0	0	1	1	1	1	1
YBR255W	0	1	1	1	1	1	1	1	0	0	0	1
YLR056W	1	0	0	0	0	1	1	1	1	1	1	1
