YFR052W	YGL048C
YDL055C	YNL271C
YGR167W	YLR330W
YMR059W	YNR008W
YJL117W	YMR134W
YCR088W	YIL095W
YDR229W	YPR152C
YAR007C	YER078C
YBL097W	YHL002W
YLL039C	YMR261C
YDR510W	YOR099W
YBR251W	YMR188C
YAL005C	YHR061C
YGL003C	YJL106W
YER166W	YOL115W
YCR061W	YNL197C
YDR388W	YPL031C
YDL021W	YKL214C
YER166W	YOR104W
YBL047C	YOL016C
YDR381W	YIL095W
YER040W	YNL229C
YBR059C	YIL095W
YDL140C	YLR005W
YBR011C	YPL111W
YGL006W	YJL178C
YGR253C	YOR157C
YBL032W	YPR204W
YGL048C	YML012W
YBR254C	YGR143W
YBL032W	YML059C
YGL137W	YIL136W
YHR200W	YNL302C
YIL106W	YKL126W
YDR388W	YGL252C
YML041C	YOL012C
YBR231C	YOL012C
YDL101C	YER079W
YBR200W	YLR362W
YDL207W	YGR192C
YBR285W	YHR079C
YHR200W	YLL039C
YMR109W	YOR181W
YDL028C	YIL144W
YDR100W	YPL095C
YBR160W	YCL063W
YFR017C	YPL203W
YDL140C	YOR124C
YCR086W	YDR061W
YDR296W	YPL049C
YMR179W	YNL197C
YKL060C	YLR044C
YBR279W	YDL140C
YBR235W	YNR047W
YKL079W	YNL272C
YJL164C	YNR019W
YDL030W	YDR421W
YDL101C	YJR104C
YJR091C	YLR156W
YGL120C	YGR130C
YLR315W	YML056C
YDL214C	YMR165C
YKL061W	YNL122C
YER125W	YJL164C
YBL030C	YOR065W
YGR092W	YMR165C
YDL028C	YNL116W
YDL120W	YLL041C
YBL032W	YDR534C
YJL020C	YPL031C
YBL032W	YHR205W
YBL032W	YKL112W
YCL037C	YPR088C
YML057W	YPR108W
YDR510W	YOR374W
YLR457C	YMR001C
YAL027W	YPR171W
YDL116W	YPL169C
YBR152W	YPR178W
YBR234C	YEL037C
YIL107C	YLL039C
YBR127C	YDL185W
YDR097C	YOL090W
YBL032W	YCL037C
YBR194W	YNL138W
YDR510W	YHR174W
YDR201W	YDR356W
YER054C	YJL164C
YDL135C	YPR165W
YAL051W	YPL146C
YBR194W	YDL140C
YFR052W	YLR421C
YDR264C	YOL018C
YJL164C	YLR173W
YGL077C	YGR130C
YBR035C	YDL214C
YDR074W	YHR082C
YBR102C	YLL039C
YDR381W	YIR001C
YGR270W	YNL248C
YBL032W	YIL051C
YBL032W	YGR071C
YML109W	YMR109W
YBL032W	YMR069W
YGR056W	YPR034W
YDR477W	YHR189W
YOR070C	YOR089C
YDR167W	YDR448W
YDR448W	YPL181W
YLL039C	YPR080W
YCR088W	YDR388W
YBR199W	YOL018C
YCR077C	YKL173W
YHR114W	YPR171W
YBR011C	YDR510W
YDL160C	YPR082C
YGR086C	YMR059W
YJL173C	YMR234W
YDL139C	YJL030W
YDR088C	YMR213W
YBL032W	YLR421C
YDL239C	YOR304C-A
YCL028W	YER125W
YDL101C	YER125W
YIL075C	YKL029C
YDR201W	YHR083W
YOR230W	YPR165W
YBR059C	YLR258W
YCR076C	YNL189W
YJL164C	YKL062W
YBL032W	YFR017C
YFR052W	YOR181W
YNL197C	YOR052C
YKL171W	YPR160W
YBR200W	YJL187C
YHR165C	YPR082C
YLL039C	YMR280C
YBR241C	YIR038C
YBR272C	YDR363W-A
YBR194W	YIL148W
YLR413W	YNL197C
YBL032W	YMR064W
YMR191W	YOR259C
YDR260C	YOR303W
YDR359C	YJL081C
YHR140W	YJL214W
YDL215C	YLL039C
YDL192W	YKR027W
YGL205W	YLL039C
YDR247W	YIL033C
YBL032W	YJL140W
YJL151C	YKL140W
YDR439W	YMR001C
YER012W	YPR108W
YHR200W	YOR176W
YDR227W	YDR510W
YBR072W	YLL039C
YLR154C	YNL088W
YBR108W	YIL095W
YBR279W	YLL063C
YKR048C	YPR086W
YDL185W	YKL080W
YMR227C	YNL027W
YBR160W	YPL267W
YJL082W	YMR029C
YCR028C-A	YLR413W
YNL090W	YOR089C
YCR042C	YNL222W
YDR381W	YPL001W
YBL032W	YBR108W
YBR279W	YDR167W
YLL039C	YMR275C
YHR114W	YOR389W
YIL149C	YNL135C
YAL005C	YPL165C
YFR052W	YMR314W
YJL084C	YNL183C
YCR030C	YGR241C
YHR025W	YNR051C
YBL015W	YJR035W
YDR247W	YGL208W
YLR115W	YPR107C
YJL057C	YLR287C
YBL003C	YMR116C
